,Slinks,Total lpGBT of Slinks,LpGBT Id,LpGBT Rate,link variable,total rate,FPGA,Total lpGBT of FPGA,Total Rate of FPGA,Event-Buffer
0,1,8,49,119.8472,Single,800.6130499999999,15,99,9604.833169999998,51.0
1,1,8,72,211.6275,Single,800.6130499999999,15,99,9604.833169999998,51.0
2,1,8,313,101.2986,Single,800.6130499999999,15,99,9604.833169999998,51.0
3,1,8,1111,92.62469999999999,Single,800.6130499999999,15,99,9604.833169999998,51.0
4,1,8,1290,72.91685,Single,800.6130499999999,15,99,9604.833169999998,51.0
5,1,8,623,47.7543,Single,800.6130499999999,15,99,9604.833169999998,51.0
6,1,8,822,154.5439,Double,800.6130499999999,15,99,9604.833169999998,51.0
0,2,8,242,120.31110000000001,Single,800.1775399999999,12,97,9606.32338,50.0
1,2,8,1293,85.0109,Single,800.1775399999999,12,97,9606.32338,50.0
2,2,8,1265,65.7271,Single,800.1775399999999,12,97,9606.32338,50.0
3,2,8,1238,83.0237,Single,800.1775399999999,12,97,9606.32338,50.0
4,2,8,1127,56.13824,Single,800.1775399999999,12,97,9606.32338,50.0
5,2,8,1446,23.6533,Single,800.1775399999999,12,97,9606.32338,50.0
6,2,8,100,366.3132,Double,800.1775399999999,12,97,9606.32338,50.0
0,3,8,114,121.8688,Single,799.6519099999999,3,96,9605.7608,51.0
1,3,8,696,156.4832,Single,799.6519099999999,3,96,9605.7608,51.0
2,3,8,594,208.39139999999998,Single,799.6519099999999,3,96,9605.7608,51.0
3,3,8,1221,72.94156,Single,799.6519099999999,3,96,9605.7608,51.0
4,3,8,672,78.8171,Single,799.6519099999999,3,96,9605.7608,51.0
5,3,8,952,79.38565000000001,Single,799.6519099999999,3,96,9605.7608,51.0
6,3,8,1477,27.7127,Single,799.6519099999999,3,96,9605.7608,51.0
7,3,8,659,54.0515,Single,799.6519099999999,3,96,9605.7608,51.0
0,4,9,90,139.02839999999998,Single,800.8752000000001,11,92,9604.11439,50.0
1,4,9,1225,82.4779,Single,800.8752000000001,11,92,9604.11439,50.0
2,4,9,453,89.8592,Single,800.8752000000001,11,92,9604.11439,50.0
3,4,9,1114,17.2101,Single,800.8752000000001,11,92,9604.11439,50.0
4,4,9,1457,23.4272,Single,800.8752000000001,11,92,9604.11439,50.0
5,4,9,531,58.2883,Single,800.8752000000001,11,92,9604.11439,50.0
6,4,9,731,42.9151,Single,800.8752000000001,11,92,9604.11439,50.0
7,4,9,374,347.669,Double,800.8752000000001,11,92,9604.11439,50.0
0,5,8,115,121.8416,Single,800.6839200000001,15,99,9604.833169999998,51.0
1,5,8,141,154.6888,Single,800.6839200000001,15,99,9604.833169999998,51.0
2,5,8,356,210.23329999999999,Single,800.6839200000001,15,99,9604.833169999998,51.0
3,5,8,611,80.54759999999999,Single,800.6839200000001,15,99,9604.833169999998,51.0
4,5,8,743,91.08482,Single,800.6839200000001,15,99,9604.833169999998,51.0
5,5,8,972,65.8061,Single,800.6839200000001,15,99,9604.833169999998,51.0
6,5,8,1336,48.762,Single,800.6839200000001,15,99,9604.833169999998,51.0
7,5,8,1481,27.7197,Single,800.6839200000001,15,99,9604.833169999998,51.0
0,6,8,23,132.6999,Single,800.0164500000001,13,94,9601.45561,51.0
1,6,8,669,161.3822,Single,800.0164500000001,13,94,9601.45561,51.0
2,6,8,566,198.4031,Single,800.0164500000001,13,94,9601.45561,51.0
3,6,8,1247,80.7346,Single,800.0164500000001,13,94,9601.45561,51.0
4,6,8,137,87.3875,Single,800.0164500000001,13,94,9601.45561,51.0
5,6,8,1001,28.677100000000003,Single,800.0164500000001,13,94,9601.45561,51.0
6,6,8,1110,54.92275,Single,800.0164500000001,13,94,9601.45561,51.0
7,6,8,1036,55.8093,Single,800.0164500000001,13,94,9601.45561,51.0
0,7,8,236,127.03689999999999,Single,800.1809,2,96,9605.436849999998,51.0
1,7,8,668,161.42950000000002,Single,800.1809,2,96,9605.436849999998,51.0
2,7,8,106,198.3324,Single,800.1809,2,96,9605.436849999998,51.0
3,7,8,1237,83.0432,Single,800.1809,2,96,9605.436849999998,51.0
4,7,8,1212,66.2537,Single,800.1809,2,96,9605.436849999998,51.0
5,7,8,737,77.2247,Single,800.1809,2,96,9605.436849999998,51.0
6,7,8,1463,27.9914,Single,800.1809,2,96,9605.436849999998,51.0
7,7,8,1060,58.869099999999996,Single,800.1809,2,96,9605.436849999998,51.0
0,8,8,411,126.5916,Single,800.7106199999998,1,95,9606.25237,50.0
1,8,8,934,162.0539,Single,800.7106199999998,1,95,9606.25237,50.0
2,8,8,104,198.2147,Single,800.7106199999998,1,95,9606.25237,50.0
3,8,8,1283,65.1748,Single,800.7106199999998,1,95,9606.25237,50.0
4,8,8,675,78.73509999999999,Single,800.7106199999998,1,95,9606.25237,50.0
5,8,8,1288,64.92869999999999,Single,800.7106199999998,1,95,9606.25237,50.0
6,8,8,1323,49.6576,Single,800.7106199999998,1,95,9606.25237,50.0
7,8,8,1213,55.35422,Single,800.7106199999998,1,95,9606.25237,50.0
0,9,8,409,126.7459,Single,800.7317499999999,4,94,9607.950949999999,50.0
1,9,8,270,166.03130000000002,Single,800.7317499999999,4,94,9607.950949999999,50.0
2,9,8,446,194.2631,Single,800.7317499999999,4,94,9607.950949999999,50.0
3,9,8,1009,94.1201,Single,800.7317499999999,4,94,9607.950949999999,50.0
4,9,8,678,93.20213999999999,Single,800.7317499999999,4,94,9607.950949999999,50.0
5,9,8,1393,20.3822,Single,800.7317499999999,4,94,9607.950949999999,50.0
6,9,8,1072,43.7312,Single,800.7317499999999,4,94,9607.950949999999,50.0
7,9,8,842,62.25581,Single,800.7317499999999,4,94,9607.950949999999,50.0
0,10,7,439,126.8068,Single,800.4968400000001,3,96,9605.7608,51.0
1,10,7,936,161.87369999999999,Single,800.4968400000001,3,96,9605.7608,51.0
2,10,7,77,198.22500000000002,Single,800.4968400000001,3,96,9605.7608,51.0
3,10,7,1239,91.39433,Single,800.4968400000001,3,96,9605.7608,51.0
4,10,7,1153,77.6778,Single,800.4968400000001,3,96,9605.7608,51.0
5,10,7,460,81.98100000000001,Single,800.4968400000001,3,96,9605.7608,51.0
6,10,7,781,62.53821000000001,Single,800.4968400000001,3,96,9605.7608,51.0
0,11,8,441,126.7075,Single,800.7646,7,97,9607.610690000001,51.0
1,11,8,271,165.8879,Single,800.7646,7,97,9607.610690000001,51.0
2,11,8,760,194.234,Single,800.7646,7,97,9607.610690000001,51.0
3,11,8,59,83.872,Single,800.7646,7,97,9607.610690000001,51.0
4,11,8,1287,85.1966,Single,800.7646,7,97,9607.610690000001,51.0
5,11,8,729,42.8318,Single,800.7646,7,97,9607.610690000001,51.0
6,11,8,889,43.7143,Single,800.7646,7,97,9607.610690000001,51.0
7,11,8,529,58.3205,Single,800.7646,7,97,9607.610690000001,51.0
0,12,9,329,127.5454,Single,800.78525,14,90,9605.89069,50.0
1,12,9,602,161.0692,Single,800.78525,14,90,9605.89069,50.0
2,12,9,564,198.4857,Single,800.78525,14,90,9605.89069,50.0
3,12,9,1046,87.88855,Single,800.78525,14,90,9605.89069,50.0
4,12,9,898,94.56060000000001,Single,800.78525,14,90,9605.89069,50.0
5,12,9,1387,12.2093,Single,800.78525,14,90,9605.89069,50.0
6,12,9,1445,23.643,Single,800.78525,14,90,9605.89069,50.0
7,12,9,620,52.62180000000001,Single,800.78525,14,90,9605.89069,50.0
8,12,9,960,42.761700000000005,Single,800.78525,14,90,9605.89069,50.0
0,13,7,328,127.4609,Single,800.11124,7,97,9607.610690000001,51.0
1,13,7,600,161.2237,Single,800.11124,7,97,9607.610690000001,51.0
