,Slinks,Lpgbt Id,link variable,Total lpGBT of Slinks,total rate,lpGBT Rates,FPGA,Event-Buffer,Total lpGBT of FPGA,Total Rate of FPGA
0,1,49,single,8.0,800.6130499999999,119.8472,15.0,51.0,99.0,9604.833169999998
1,1,72,single,8.0,800.6130499999999,211.6275,15.0,51.0,99.0,9604.833169999998
2,1,1430,single,8.0,800.6130499999999,23.9433,15.0,51.0,99.0,9604.833169999998
3,1,718,single,8.0,800.6130499999999,49.4346,15.0,51.0,99.0,9604.833169999998
4,1,1242,single,8.0,800.6130499999999,59.7102,15.0,51.0,99.0,9604.833169999998
5,1,390,single,8.0,800.6130499999999,95.5751,15.0,51.0,99.0,9604.833169999998
6,2,242,single,8.0,800.1775399999999,120.31110000000001,12.0,50.0,97.0,9606.32338
7,2,729,single,8.0,800.1775399999999,42.8318,12.0,50.0,97.0,9606.32338
8,2,1088,single,8.0,800.1775399999999,47.5933,12.0,50.0,97.0,9606.32338
9,2,1164,single,8.0,800.1775399999999,55.825149999999994,12.0,50.0,97.0,9606.32338
10,2,460,single,8.0,800.1775399999999,81.98100000000001,12.0,50.0,97.0,9606.32338
11,2,451,single,8.0,800.1775399999999,89.9092,12.0,50.0,97.0,9606.32338
12,3,114,single,8.0,799.6519099999999,121.8688,3.0,51.0,94.0,9605.7608
13,3,696,single,8.0,799.6519099999999,156.4832,3.0,51.0,94.0,9605.7608
14,3,594,single,8.0,799.6519099999999,208.39139999999998,3.0,51.0,94.0,9605.7608
15,3,1383,single,8.0,799.6519099999999,12.2254,3.0,51.0,94.0,9605.7608
16,3,1393,single,8.0,799.6519099999999,20.3822,3.0,51.0,94.0,9605.7608
17,3,1160,single,8.0,799.6519099999999,60.0394,3.0,51.0,94.0,9605.7608
18,3,1174,single,8.0,799.6519099999999,71.9399,3.0,51.0,94.0,9605.7608
19,3,608,single,8.0,799.6519099999999,80.6747,3.0,51.0,94.0,9605.7608
20,4,90,single,9.0,800.8752000000001,139.02839999999998,11.0,50.0,94.0,9604.11439
21,4,1125,single,9.0,800.8752000000001,52.532,11.0,50.0,94.0,9604.11439
22,4,1319,single,9.0,800.8752000000001,52.8883,11.0,50.0,94.0,9604.11439
23,4,1226,single,9.0,800.8752000000001,65.0313,11.0,50.0,94.0,9604.11439
24,4,972,single,9.0,800.8752000000001,65.8061,11.0,50.0,94.0,9604.11439
25,4,577,single,9.0,800.8752000000001,82.9852,11.0,50.0,94.0,9604.11439
26,4,913,single,9.0,800.8752000000001,93.9967,11.0,50.0,94.0,9604.11439
27,5,115,single,8.0,800.6839200000001,121.8416,15.0,51.0,99.0,9604.833169999998
28,5,141,single,8.0,800.6839200000001,154.6888,15.0,51.0,99.0,9604.833169999998
29,5,356,single,8.0,800.6839200000001,210.23329999999999,15.0,51.0,99.0,9604.833169999998
30,5,1035,single,8.0,800.6839200000001,40.11649,15.0,51.0,99.0,9604.833169999998
31,5,1033,single,8.0,800.6839200000001,52.8935,15.0,51.0,99.0,9604.833169999998
32,5,1068,single,8.0,800.6839200000001,54.99788,15.0,51.0,99.0,9604.833169999998
33,5,1006,single,8.0,800.6839200000001,76.35104,15.0,51.0,99.0,9604.833169999998
34,5,677,single,8.0,800.6839200000001,92.99828,15.0,51.0,99.0,9604.833169999998
35,6,23,single,8.0,800.0164500000001,132.6999,13.0,51.0,91.0,9601.45561
36,6,669,single,8.0,800.0164500000001,161.3822,13.0,51.0,91.0,9601.45561
37,6,566,single,8.0,800.0164500000001,198.4031,13.0,51.0,91.0,9601.45561
38,6,1500,single,8.0,800.0164500000001,27.4533,13.0,51.0,91.0,9601.45561
39,6,1322,single,8.0,800.0164500000001,49.0056,13.0,51.0,91.0,9601.45561
40,6,1251,single,8.0,800.0164500000001,72.8963,13.0,51.0,91.0,9601.45561
41,6,203,single,8.0,800.0164500000001,80.836,13.0,51.0,91.0,9601.45561
42,6,994,single,8.0,800.0164500000001,81.5138,13.0,51.0,91.0,9601.45561
43,7,236,single,8.0,800.1809,127.03689999999999,2.0,51.0,93.0,9605.436849999998
44,7,668,single,8.0,800.1809,161.42950000000002,2.0,51.0,93.0,9605.436849999998
45,7,106,single,8.0,800.1809,198.3324,2.0,51.0,93.0,9605.436849999998
46,7,1354,single,8.0,800.1809,12.5755,2.0,51.0,93.0,9605.436849999998
47,7,1407,single,8.0,800.1809,19.9135,2.0,51.0,93.0,9605.436849999998
48,7,684,single,8.0,800.1809,51.9178,2.0,51.0,93.0,9605.436849999998
