,Slinks,Total lpGBT of Slinks,LpGBT Id,LpGBT Rate,link variable,total rate,FPGA,Total lpGBT of FPGA,Total Rate of FPGA,Event-Buffer
0,1,9,266,121.4178,Single,602.9924,16,79,7230.668000000001,42.0
1,1,9,466,229.206,Single,602.9924,16,79,7230.668000000001,42.0
2,1,9,622,81.03020000000001,Single,602.9924,16,79,7230.668000000001,42.0
3,1,9,980,66.3654,Single,602.9924,16,79,7230.668000000001,42.0
4,1,9,2018,10.0256,Single,602.9924,16,79,7230.668000000001,42.0
5,1,9,2096,15.027,Single,602.9924,16,79,7230.668000000001,42.0
6,1,9,2042,11.0932,Single,602.9924,16,79,7230.668000000001,42.0
7,1,9,2115,14.0886,Single,602.9924,16,79,7230.668000000001,42.0
8,1,9,650,54.7386,Single,602.9924,16,79,7230.668000000001,42.0
0,2,7,826,122.011,Single,603.0559999999999,12,83,7231.988199999999,42.0
1,2,7,337,230.3378,Single,603.0559999999999,12,83,7231.988199999999,42.0
2,2,7,523,66.2904,Single,603.0559999999999,12,83,7231.988199999999,42.0
3,2,7,452,74.687,Single,603.0559999999999,12,83,7231.988199999999,42.0
4,2,7,770,78.17939999999999,Single,603.0559999999999,12,83,7231.988199999999,42.0
5,2,7,2089,15.7194,Single,603.0559999999999,12,83,7231.988199999999,42.0
6,2,7,2093,15.831,Single,603.0559999999999,12,83,7231.988199999999,42.0
0,3,8,130,121.8826,Single,602.5844,16,79,7230.668000000001,42.0
1,3,8,351,230.627,Single,602.5844,16,79,7230.668000000001,42.0
2,3,8,406,74.1736,Single,602.5844,16,79,7230.668000000001,42.0
3,3,8,339,85.46000000000001,Single,602.5844,16,79,7230.668000000001,42.0
4,3,8,975,59.115,Single,602.5844,16,79,7230.668000000001,42.0
5,3,8,2047,11.0104,Single,602.5844,16,79,7230.668000000001,42.0
6,3,8,2023,10.0502,Single,602.5844,16,79,7230.668000000001,42.0
7,3,8,2016,10.2656,Single,602.5844,16,79,7230.668000000001,42.0
0,4,5,251,121.2528,Single,602.1632,6,77,7231.9596,41.0
1,4,5,558,231.61420000000004,Single,602.1632,6,77,7231.9596,41.0
2,4,5,577,82.9004,Single,602.1632,6,77,7231.9596,41.0
3,4,5,945,85.6846,Single,602.1632,6,77,7231.9596,41.0
4,4,5,565,80.7112,Single,602.1632,6,77,7231.9596,41.0
0,5,8,207,121.1602,Single,603.0426,12,83,7231.988199999999,42.0
1,5,8,570,231.9068,Single,603.0426,12,83,7231.988199999999,42.0
2,5,8,552,64.11619999999999,Single,603.0426,12,83,7231.988199999999,42.0
3,5,8,553,80.8468,Single,603.0426,12,83,7231.988199999999,42.0
4,5,8,2108,14.0836,Single,603.0426,12,83,7231.988199999999,42.0
5,5,8,2094,15.8074,Single,603.0426,12,83,7231.988199999999,42.0
6,5,8,2083,18.9778,Single,603.0426,12,83,7231.988199999999,42.0
7,5,8,804,56.1438,Single,603.0426,12,83,7231.988199999999,42.0
0,6,6,82,123.9588,Single,602.9110000000001,13,76,7230.219800000001,41.0
1,6,6,546,230.9244,Single,602.9110000000001,13,76,7230.219800000001,41.0
2,6,6,859,63.3654,Single,602.9110000000001,13,76,7230.219800000001,41.0
3,6,6,372,69.3218,Single,602.9110000000001,13,76,7230.219800000001,41.0
4,6,6,554,57.135,Single,602.9110000000001,13,76,7230.219800000001,41.0
5,6,6,739,58.20559999999999,Single,602.9110000000001,13,76,7230.219800000001,41.0
0,7,7,190,121.124,Single,602.9567999999999,3,82,7231.1314,42.0
1,7,7,582,232.454,Single,602.9567999999999,3,82,7231.1314,42.0
2,7,7,717,85.8202,Single,602.9567999999999,3,82,7231.1314,42.0
3,7,7,490,63.4464,Single,602.9567999999999,3,82,7231.1314,42.0
4,7,7,2100,14.9848,Single,602.9567999999999,3,82,7231.1314,42.0
5,7,7,986,49.8322,Single,602.9567999999999,3,82,7231.1314,42.0
6,7,7,1059,35.2952,Single,602.9567999999999,3,82,7231.1314,42.0
0,8,6,205,120.8846,Single,602.9696,1,78,7233.7032,40.0
1,8,6,108,235.0032,Single,602.9696,1,78,7233.7032,40.0
2,8,6,894,61.1396,Single,602.9696,1,78,7233.7032,40.0
3,8,6,613,78.114,Single,602.9696,1,78,7233.7032,40.0
4,8,6,1011,53.823800000000006,Single,602.9696,1,78,7233.7032,40.0
5,8,6,674,54.0044,Single,602.9696,1,78,7233.7032,40.0
0,9,6,721,120.9792,Single,602.4336,4,83,7234.2896,42.0
1,9,6,94,235.3806,Single,602.4336,4,83,7234.2896,42.0
2,9,6,610,79.345,Single,602.4336,4,83,7234.2896,42.0
3,9,6,729,70.5064,Single,602.4336,4,83,7234.2896,42.0
4,9,6,283,85.98679999999999,Single,602.4336,4,83,7234.2896,42.0
5,9,6,2013,10.2356,Single,602.4336,4,83,7234.2896,42.0
0,10,6,342,77.90039999999999,Single,602.1194,3,82,7231.1314,42.0
1,10,6,591,74.0872,Single,602.1194,3,82,7231.1314,42.0
2,10,6,1064,73.9042,Single,602.1194,3,82,7231.1314,42.0
3,10,6,2092,15.8886,Single,602.1194,3,82,7231.1314,42.0
4,10,6,167,360.339,Double,602.1194,3,82,7231.1314,42.0
0,11,6,192,121.038,Single,602.8281999999999,7,77,7230.8994,41.0
1,11,6,401,239.919,Single,602.8281999999999,7,77,7230.8994,41.0
2,11,6,997,63.51,Single,602.8281999999999,7,77,7230.8994,41.0
3,11,6,952,87.1792,Single,602.8281999999999,7,77,7230.8994,41.0
4,11,6,1067,33.096,Single,602.8281999999999,7,77,7230.8994,41.0
5,11,6,977,58.08599999999999,Single,602.8281999999999,7,77,7230.8994,41.0
0,12,7,7,111.7748,Single,602.9096,14,77,7227.605800000001,41.0
1,12,7,427,242.8434,Single,602.9096,14,77,7227.605800000001,41.0
2,12,7,790,59.4684,Single,602.9096,14,77,7227.605800000001,41.0
3,12,7,789,58.9044,Single,602.9096,14,77,7227.605800000001,41.0
4,12,7,2069,14.0374,Single,602.9096,14,77,7227.605800000001,41.0
5,12,7,626,57.2596,Single,602.9096,14,77,7227.605800000001,41.0
6,12,7,778,58.6216,Single,602.9096,14,77,7227.605800000001,41.0
0,13,7,143,118.5256,Single,603.1410000000001,15,75,7231.0592,42.0
1,13,7,803,59.8458,Single,603.1410000000001,15,75,7231.0592,42.0
2,13,7,710,65.29639999999999,Single,603.1410000000001,15,75,7231.0592,42.0
3,13,7,386,69.4036,Single,603.1410000000001,15,75,7231.0592,42.0
4,13,7,1013,47.5138,Single,603.1410000000001,15,75,7231.0592,42.0
5,13,7,494,242.5558,Double,603.1410000000001,15,75,7231.0592,42.0
0,14,9,127,118.402,Single,603.0114000000001,5,71,7233.2302,40.0
1,14,9,370,78.97460000000001,Single,603.0114000000001,5,71,7233.2302,40.0
2,14,9,600,61.8784,Single,603.0114000000001,5,71,7233.2302,40.0
3,14,9,2057,14.9594,Single,603.0114000000001,5,71,7233.2302,40.0
4,14,9,2102,14.9644,Single,603.0114000000001,5,71,7233.2302,40.0
5,14,9,2072,18.987,Single,603.0114000000001,5,71,7233.2302,40.0
6,14,9,700,51.757200000000005,Single,603.0114000000001,5,71,7233.2302,40.0
7,14,9,520,243.0884,Double,603.0114000000001,5,71,7233.2302,40.0
0,15,7,269,118.42879999999998,Single,602.0884,14,77,7227.605800000001,41.0
1,15,7,981,59.1704,Single,602.0884,14,77,7227.605800000001,41.0
2,15,7,478,80.4436,Single,602.0884,14,77,7227.605800000001,41.0
3,15,7,426,84.702,Single,602.0884,14,77,7227.605800000001,41.0
4,15,7,2156,16.1208,Single,602.0884,14,77,7227.605800000001,41.0
5,15,7,507,243.2228,Double,602.0884,14,77,7227.605800000001,41.0
0,16,8,341,85.16680000000001,Single,601.0237999999999,12,83,7231.988199999999,42.0
1,16,8,355,85.3748,Single,601.0237999999999,12,83,7231.988199999999,42.0
2,16,8,2090,15.7818,Single,601.0237999999999,12,83,7231.988199999999,42.0
3,16,8,2153,16.2144,Single,601.0237999999999,12,83,7231.988199999999,42.0
4,16,8,2123,16.9648,Single,601.0237999999999,12,83,7231.988199999999,42.0
5,16,8,2075,19.646,Single,601.0237999999999,12,83,7231.988199999999,42.0
6,16,8,152,361.8752,Double,601.0237999999999,12,83,7231.988199999999,42.0
0,17,6,716,120.9716,Single,601.9616,13,76,7230.219800000001,41.0
1,17,6,388,241.1206,Single,601.9616,13,76,7230.219800000001,41.0
2,17,6,837,67.7878,Single,601.9616,13,76,7230.219800000001,41.0
3,17,6,1060,74.3812,Single,601.9616,13,76,7230.219800000001,41.0
4,17,6,459,81.5622,Single,601.9616,13,76,7230.219800000001,41.0
5,17,6,2158,16.1382,Single,601.9616,13,76,7230.219800000001,41.0
0,18,7,160,118.185,Single,603.114,7,77,7230.8994,41.0
1,18,7,615,70.01859999999999,Single,603.114,7,77,7230.8994,41.0
2,18,7,451,62.02159999999999,Single,603.114,7,77,7230.8994,41.0
3,18,7,940,50.33219999999999,Single,603.114,7,77,7230.8994,41.0
4,18,7,788,58.686600000000006,Single,603.114,7,77,7230.8994,41.0
5,18,7,533,243.87,Double,603.114,7,77,7230.8994,41.0
0,19,6,177,118.0598,Single,603.1322,2,79,7233.971799999999,40.0
1,19,6,414,244.0648,Single,603.1322,2,79,7233.971799999999,40.0
2,19,6,824,70.8676,Single,603.1322,2,79,7233.971799999999,40.0
3,19,6,504,71.99100000000001,Single,603.1322,2,79,7233.971799999999,40.0
4,19,6,815,56.2168,Single,603.1322,2,79,7233.971799999999,40.0
5,19,6,1058,41.9322,Single,603.1322,2,79,7233.971799999999,40.0
0,20,6,819,60.21319999999999,Single,603.1370000000001,3,82,7231.1314,42.0
1,20,6,294,85.6644,Single,603.1370000000001,3,82,7231.1314,42.0
2,20,6,575,77.05680000000001,Single,603.1370000000001,3,82,7231.1314,42.0
3,20,6,2088,15.7432,Single,603.1370000000001,3,82,7231.1314,42.0
4,20,6,215,364.4594,Double,603.1370000000001,3,82,7231.1314,42.0
0,21,6,542,60.3812,Single,602.9612,6,77,7231.9596,41.0
1,21,6,776,63.3506,Single,602.9612,6,77,7231.9596,41.0
2,21,6,983,64.79520000000001,Single,602.9612,6,77,7231.9596,41.0
3,21,6,964,49.8992,Single,602.9612,6,77,7231.9596,41.0
4,21,6,3,364.535,Double,602.9612,6,77,7231.9596,41.0
0,22,7,799,74.7572,Single,602.3780000000002,4,83,7234.2896,42.0
1,22,7,561,74.9998,Single,602.3780000000002,4,83,7234.2896,42.0
2,22,7,1052,35.6816,Single,602.3780000000002,4,83,7234.2896,42.0
3,22,7,2136,16.0996,Single,602.3780000000002,4,83,7234.2896,42.0
4,22,7,1040,36.007600000000004,Single,602.3780000000002,4,83,7234.2896,42.0
5,22,7,18,364.83220000000006,Double,602.3780000000002,4,83,7234.2896,42.0
0,23,6,254,118.55559999999998,Single,602.257,15,75,7231.0592,42.0
1,23,6,122,247.3436,Single,602.257,15,75,7231.0592,42.0
2,23,6,135,78.41740000000001,Single,602.257,15,75,7231.0592,42.0
3,23,6,423,73.367,Single,602.257,15,75,7231.0592,42.0
4,23,6,1056,35.3398,Single,602.257,15,75,7231.0592,42.0
5,23,6,946,49.2336,Single,602.257,15,75,7231.0592,42.0
0,24,6,162,117.9792,Single,602.7606,5,71,7233.2302,40.0
1,24,6,138,247.3326,Single,602.7606,5,71,7233.2302,40.0
2,24,6,549,75.11059999999999,Single,602.7606,5,71,7233.2302,40.0
3,24,6,439,84.58699999999999,Single,602.7606,5,71,7233.2302,40.0
4,24,6,957,38.5636,Single,602.7606,5,71,7233.2302,40.0
5,24,6,925,39.1876,Single,602.7606,5,71,7233.2302,40.0
0,25,9,707,71.5156,Single,603.1442,7,77,7230.8994,41.0
1,25,9,728,70.4708,Single,603.1442,7,77,7230.8994,41.0
2,25,9,2061,14.151,Single,603.1442,7,77,7230.8994,41.0
3,25,9,2107,15.0104,Single,603.1442,7,77,7230.8994,41.0
4,25,9,2157,15.974,Single,603.1442,7,77,7230.8994,41.0
5,25,9,764,36.41179999999999,Single,603.1442,7,77,7230.8994,41.0
6,25,9,2064,14.2072,Single,603.1442,7,77,7230.8994,41.0
7,25,9,141,365.4034,Double,603.1442,7,77,7230.8994,41.0
0,26,6,850,66.6658,Single,603.1088,3,82,7231.1314,42.0
1,26,6,225,75.0796,Single,603.1088,3,82,7231.1314,42.0
2,26,6,877,84.9076,Single,603.1088,3,82,7231.1314,42.0
3,26,6,2038,11.0386,Single,603.1088,3,82,7231.1314,42.0
4,26,6,230,365.4172,Double,603.1088,3,82,7231.1314,42.0
0,27,8,657,73.2232,Single,603.0768,13,76,7230.219800000001,41.0
1,27,8,358,66.62,Single,603.0768,13,76,7230.219800000001,41.0
2,27,8,2011,10.7982,Single,603.0768,13,76,7230.219800000001,41.0
3,27,8,2142,16.0884,Single,603.0768,13,76,7230.219800000001,41.0
4,27,8,2155,16.1668,Single,603.0768,13,76,7230.219800000001,41.0
5,27,8,1005,54.52,Single,603.0768,13,76,7230.219800000001,41.0
6,27,8,125,365.6602,Double,603.0768,13,76,7230.219800000001,41.0
0,28,6,517,71.9798,Single,602.917,7,77,7230.8994,41.0
1,28,6,285,72.724,Single,602.917,7,77,7230.8994,41.0
2,28,6,857,58.5764,Single,602.917,7,77,7230.8994,41.0
3,28,6,971,31.2228,Single,602.917,7,77,7230.8994,41.0
4,28,6,80,368.414,Double,602.917,7,77,7230.8994,41.0
0,29,5,609,72.62199999999999,Single,602.8212,13,76,7230.219800000001,41.0
1,29,5,180,84.2132,Single,602.8212,13,76,7230.219800000001,41.0
2,29,5,573,77.22560000000001,Single,602.8212,13,76,7230.219800000001,41.0
3,29,5,245,368.7604,Double,602.8212,13,76,7230.219800000001,41.0
0,30,5,472,81.1824,Single,602.9186000000001,9,77,7234.254199999999,41.0
1,30,5,436,73.28939999999999,Single,602.9186000000001,9,77,7234.254199999999,41.0
2,30,5,661,79.5148,Single,602.9186000000001,9,77,7234.254199999999,41.0
3,30,5,63,368.932,Double,602.9186000000001,9,77,7234.254199999999,41.0
0,31,6,744,115.7902,Single,603.0004,1,78,7233.7032,40.0
1,31,6,90,82.7886,Single,603.0004,1,78,7233.7032,40.0
2,31,6,151,78.5382,Single,603.0004,1,78,7233.7032,40.0
3,31,6,627,72.17519999999999,Single,603.0004,1,78,7233.7032,40.0
4,31,6,442,253.7082,Double,603.0004,1,78,7233.7032,40.0
0,32,8,745,115.6148,Single,601.7566,14,77,7227.605800000001,41.0
1,32,8,550,81.9842,Single,601.7566,14,77,7227.605800000001,41.0
2,32,8,562,82.00959999999999,Single,601.7566,14,77,7227.605800000001,41.0
3,32,8,2032,9.47,Single,601.7566,14,77,7227.605800000001,41.0
4,32,8,2134,16.275,Single,601.7566,14,77,7227.605800000001,41.0
5,32,8,676,42.3894,Single,601.7566,14,77,7227.605800000001,41.0
6,32,8,455,254.0136,Double,601.7566,14,77,7227.605800000001,41.0
0,33,8,29,117.0278,Single,603.1092,4,83,7234.2896,42.0
1,33,8,60,252.8754,Single,603.1092,4,83,7234.2896,42.0
2,33,8,701,72.1174,Single,603.1092,4,83,7234.2896,42.0
3,33,8,449,69.818,Single,603.1092,4,83,7234.2896,42.0
4,33,8,2122,16.906,Single,603.1092,4,83,7234.2896,42.0
5,33,8,2024,9.4132,Single,603.1092,4,83,7234.2896,42.0
6,33,8,2015,10.0134,Single,603.1092,4,83,7234.2896,42.0
7,33,8,870,54.93799999999999,Single,603.1092,4,83,7234.2896,42.0
0,34,7,14,116.8956,Single,603.128,1,78,7233.7032,40.0
1,34,7,77,253.203,Single,603.128,1,78,7233.7032,40.0
2,34,7,682,74.0504,Single,603.128,1,78,7233.7032,40.0
3,34,7,752,59.7832,Single,603.128,1,78,7233.7032,40.0
4,34,7,755,67.1582,Single,603.128,1,78,7233.7032,40.0
5,34,7,2163,15.9518,Single,603.128,1,78,7233.7032,40.0
6,34,7,2167,16.0858,Single,603.128,1,78,7233.7032,40.0
0,35,5,488,69.4502,Single,602.9726,8,70,7233.6862,41.0
1,35,5,633,75.94200000000001,Single,602.9726,8,70,7233.6862,41.0
2,35,5,387,87.43960000000001,Single,602.9726,8,70,7233.6862,41.0
3,35,5,260,370.1408,Double,602.9726,8,70,7233.6862,41.0
0,36,7,265,112.7766,Single,602.8934,13,76,7230.219800000001,41.0
1,36,7,663,73.2628,Single,602.8934,13,76,7230.219800000001,41.0
2,36,7,839,62.29299999999999,Single,602.8934,13,76,7230.219800000001,41.0
3,36,7,1054,42.1592,Single,602.8934,13,76,7230.219800000001,41.0
4,36,7,932,54.2624,Single,602.8934,13,76,7230.219800000001,41.0
5,36,7,292,258.1394,Double,602.8934,13,76,7230.219800000001,41.0
0,37,7,267,112.763,Single,602.5052000000001,5,71,7233.2302,40.0
1,37,7,608,62.199000000000005,Single,602.5052000000001,5,71,7233.2302,40.0
2,37,7,420,85.6932,Single,602.5052000000001,5,71,7233.2302,40.0
3,37,7,887,67.784,Single,602.5052000000001,5,71,7233.2302,40.0
4,37,7,2095,15.7812,Single,602.5052000000001,5,71,7233.2302,40.0
5,37,7,277,258.2848,Double,602.5052000000001,5,71,7233.2302,40.0
0,38,8,852,114.3704,Single,602.7044000000001,3,82,7231.1314,42.0
1,38,8,818,60.2756,Single,602.7044000000001,3,82,7231.1314,42.0
2,38,8,384,78.7778,Single,602.7044000000001,3,82,7231.1314,42.0
3,38,8,995,58.5826,Single,602.7044000000001,3,82,7231.1314,42.0
4,38,8,2161,16.091,Single,602.7044000000001,3,82,7231.1314,42.0
5,38,8,2121,16.5528,Single,602.7044000000001,3,82,7231.1314,42.0
6,38,8,481,258.0542,Double,602.7044000000001,3,82,7231.1314,42.0
