,Slinks,Lpgbt Id,link variable,Total lpGBT of Slinks,total rate,lpGBT Rates,FPGA,Event-Buffer,Total lpGBT of FPGA,Total Rate of FPGA
0,1,364,single,8.0,809.8477,101.6522,15.0,51.0,99.0,9626.166430000001
1,1,242,single,8.0,809.8477,120.31110000000001,15.0,51.0,99.0,9626.166430000001
2,1,72,single,8.0,809.8477,211.6275,15.0,51.0,99.0,9626.166430000001
3,1,1415,single,8.0,809.8477,24.427,15.0,51.0,99.0,9626.166430000001
4,1,659,single,8.0,809.8477,54.0515,15.0,51.0,99.0,9626.166430000001
5,1,896,single,8.0,809.8477,76.0664,15.0,51.0,99.0,9626.166430000001
6,2,399,single,8.0,797.5081999999999,120.2766,12.0,50.0,97.0,9648.516510000001
7,2,1354,single,8.0,797.5081999999999,12.5755,12.0,50.0,97.0,9648.516510000001
8,2,1462,single,8.0,797.5081999999999,27.986,12.0,50.0,97.0,9648.516510000001
9,2,1151,single,8.0,797.5081999999999,55.733830000000005,12.0,50.0,97.0,9648.516510000001
10,2,1026,single,8.0,797.5081999999999,89.37556,12.0,50.0,97.0,9648.516510000001
11,2,764,single,8.0,797.5081999999999,99.6574,12.0,50.0,97.0,9648.516510000001
12,3,114,single,8.0,795.06991,121.8688,16.0,50.0,95.0,9579.150270000002
13,3,696,single,8.0,795.06991,156.4832,16.0,50.0,95.0,9579.150270000002
14,3,594,single,8.0,795.06991,208.39139999999998,16.0,50.0,95.0,9579.150270000002
15,3,1383,single,8.0,795.06991,12.2254,16.0,50.0,95.0,9579.150270000002
16,3,1329,single,8.0,795.06991,48.3692,16.0,50.0,95.0,9579.150270000002
17,3,1160,single,8.0,795.06991,60.0394,16.0,50.0,95.0,9579.150270000002
18,3,1174,single,8.0,795.06991,71.9399,16.0,50.0,95.0,9579.150270000002
19,3,868,single,8.0,795.06991,96.6714,16.0,50.0,95.0,9579.150270000002
20,4,91,single,9.0,795.36578,139.09290000000001,11.0,50.0,94.0,9564.896490000001
21,4,1358,single,9.0,795.36578,12.5907,11.0,50.0,94.0,9564.896490000001
22,4,1334,single,9.0,795.36578,48.7141,11.0,50.0,94.0,9564.896490000001
23,4,1284,single,9.0,795.36578,73.09441000000001,11.0,50.0,94.0,9564.896490000001
24,4,1238,single,9.0,795.36578,83.0237,11.0,50.0,94.0,9564.896490000001
25,4,1104,single,9.0,795.36578,87.06454000000001,11.0,50.0,94.0,9564.896490000001
26,4,453,single,9.0,795.36578,89.8592,11.0,50.0,94.0,9564.896490000001
27,5,115,single,8.0,799.1136199999999,121.8416,15.0,51.0,99.0,9626.166430000001
28,5,141,single,8.0,799.1136199999999,154.6888,15.0,51.0,99.0,9626.166430000001
29,5,356,single,8.0,799.1136199999999,210.23329999999999,15.0,51.0,99.0,9626.166430000001
30,5,1372,single,8.0,799.1136199999999,12.3921,15.0,51.0,99.0,9626.166430000001
31,5,1088,single,8.0,799.1136199999999,47.5933,15.0,51.0,99.0,9626.166430000001
32,5,1033,single,8.0,799.1136199999999,52.8935,15.0,51.0,99.0,9626.166430000001
33,5,1158,single,8.0,799.1136199999999,72.30969999999999,15.0,51.0,99.0,9626.166430000001
34,5,1236,single,8.0,799.1136199999999,95.888,15.0,51.0,99.0,9626.166430000001
35,6,237,single,8.0,789.76978,126.9797,13.0,51.0,91.0,9592.46304
36,6,669,single,8.0,789.76978,161.3822,13.0,51.0,91.0,9592.46304
37,6,566,single,8.0,789.76978,198.4031,13.0,51.0,91.0,9592.46304
38,6,1394,single,8.0,789.76978,20.3861,13.0,51.0,91.0,9592.46304
39,6,1072,single,8.0,789.76978,43.7312,13.0,51.0,91.0,9592.46304
40,6,683,single,8.0,789.76978,71.0506,13.0,51.0,91.0,9592.46304
