,Slinks,DAQlpGBT,link variable,Total lpGBT of Slinks,total rate,lpGBT Rates,FPGA,Event-Buffer,Total lpGBT of FPGA,Total Rate of FPGA
0,1,563,single,6,532.90898,58.4605,11,28,56,5839.19483
1,1,779,single,6,532.90898,60.80618,11,28,56,5839.19483
2,1,550,single,6,532.90898,98.0463,11,28,56,5839.19483
3,1,858,single,6,532.90898,98.583,11,28,56,5839.19483
4,2,1391,single,6,495.5871,20.3675,6,29,58,5859.27776
5,2,833,single,6,495.5871,95.8434,6,29,58,5859.27776
6,2,57,single,6,495.5871,97.2398,6,29,58,5859.27776
7,2,771,single,6,495.5871,97.3962,6,29,58,5859.27776
8,3,808,single,4,451.8902,52.768,6,29,58,5859.27776
9,3,625,single,4,451.8902,56.1993,6,29,58,5859.27776
10,4,695,single,4,461.79447,106.5277,11,28,56,5839.19483
11,4,1374,single,4,461.79447,12.4012,11,28,56,5839.19483
12,5,398,single,6,513.9427,120.2658,23,29,58,5930.02649
13,5,15,single,6,513.9427,142.2112,23,29,58,5930.02649
14,5,1372,single,6,513.9427,12.3921,23,29,58,5930.02649
15,5,1421,single,6,513.9427,24.3981,23,29,58,5930.02649
16,5,431,single,6,513.9427,80.9639,23,29,58,5930.02649
17,5,772,single,6,513.9427,97.3671,23,29,58,5930.02649
18,6,757,single,4,493.44499,103.7158,17,28,56,5893.57518
19,6,915,single,4,493.44499,104.75259,17,28,56,5893.57518
20,6,269,single,4,493.44499,139.6029,17,28,56,5893.57518
21,6,45,single,4,493.44499,145.3737,17,28,56,5893.57518
22,7,14,single,4,443.8024,142.4875,12,29,58,5856.84287
23,7,204,single,4,443.8024,142.5013,12,29,58,5856.84287
24,7,1371,single,4,443.8024,12.3953,12,29,58,5856.84287
25,7,589,single,4,443.8024,55.7172,12,29,58,5856.84287
26,8,268,single,6,492.274,139.5708,16,30,60,5903.08506
27,8,988,single,6,492.274,145.4572,16,30,60,5903.08506
28,8,1400,single,6,492.274,19.9139,16,30,60,5903.08506
29,8,1070,single,6,492.274,54.99298,16,30,60,5903.08506
30,8,1271,single,6,492.274,69.39323,16,30,60,5903.08506
31,8,1090,single,6,492.274,96.9301,16,30,60,5903.08506
32,9,552,single,4,481.53966,104.8632,12,29,58,5856.84287
33,9,1061,single,4,481.53966,142.0412,12,29,58,5856.84287
34,9,950,single,4,481.53966,143.2857,12,29,58,5856.84287
35,9,1438,single,4,481.53966,23.6461,12,29,58,5856.84287
36,10,118,single,4,497.7935,138.4171,24,29,58,5900.79949
37,10,206,single,4,497.7935,180.6562,24,29,58,5900.79949
38,10,1474,single,4,497.7935,27.7125,24,29,58,5900.79949
39,10,1164,single,4,497.7935,55.82515,24,29,58,5900.79949
40,11,1032,single,4,462.4231,138.4708,2,28,56,5857.23326
41,11,148,single,4,462.4231,147.0916,2,28,56,5857.23326
42,11,1354,single,4,462.4231,12.5755,2,28,56,5857.23326
43,11,1000,single,4,462.4231,44.3221,2,28,56,5857.23326
44,12,1082,single,4,480.67385,139.0968,4,29,58,5924.89665
45,12,111,single,4,480.67385,146.534,4,29,58,5924.89665
46,12,749,single,4,480.67385,53.2296,4,29,58,5924.89665
47,12,1175,single,4,480.67385,57.8488,4,29,58,5924.89665
48,13,91,single,6,510.8785,139.0929,4,29,58,5924.89665
49,13,110,single,6,510.8785,146.5492,4,29,58,5924.89665
50,13,1479,single,6,510.8785,27.7183,4,29,58,5924.89665
51,13,1272,single,6,510.8785,69.49162,4,29,58,5924.89665
52,13,1089,single,6,510.8785,80.671,4,29,58,5924.89665
53,13,832,single,6,510.8785,95.9385,4,29,58,5924.89665
54,14,119,single,4,456.27788,138.3642,25,29,58,5981.63386
55,14,146,single,4,456.27788,147.2995,25,29,58,5981.63386
56,14,1475,single,4,456.27788,27.7128,25,29,58,5981.63386
57,14,556,single,4,456.27788,51.6548,25,29,58,5981.63386
58,15,113,single,6,496.6676,140.4825,6,29,58,5859.27776
59,15,989,single,6,496.6676,145.244,6,29,58,5859.27776
60,15,1392,single,6,496.6676,20.376,6,29,58,5859.27776
61,15,873,single,6,496.6676,59.84713,6,29,58,5859.27776
62,15,1273,single,6,496.6676,63.7621,6,29,58,5859.27776
63,15,615,single,6,496.6676,95.21784,6,29,58,5859.27776
64,16,112,single,4,467.8268,140.4432,2,28,56,5857.23326
65,16,44,single,4,467.8268,145.3125,2,28,56,5857.23326
66,16,1457,single,4,467.8268,23.4272,2,28,56,5857.23326
67,16,1187,single,4,467.8268,54.5275,2,28,56,5857.23326
68,17,1062,single,4,449.4146,142.0273,19,28,56,5834.37495
69,17,117,single,4,449.4146,143.8876,19,28,56,5834.37495
70,17,1481,single,4,449.4146,27.7197,19,28,56,5834.37495
71,17,1120,single,4,449.4146,58.7415,19,28,56,5834.37495
72,18,448,single,4,491.0631,111.4942,9,28,56,5850.34882
73,18,154,single,4,491.0631,141.4976,9,28,56,5850.34882
74,18,55,single,4,491.0631,144.4183,9,28,56,5850.34882
75,18,1443,single,4,491.0631,23.6526,9,28,56,5850.34882
76,19,155,single,4,504.2853,141.4087,3,28,56,5925.88257
77,19,479,single,4,504.2853,181.4372,3,28,56,5925.88257
78,19,1356,single,4,504.2853,12.5809,3,28,56,5925.88257
79,19,1177,single,4,504.2853,61.9567,3,28,56,5925.88257
80,20,279,single,4,466.8523,141.9841,20,29,58,5904.53197
81,20,116,single,4,466.8523,144.0229,20,29,58,5904.53197
82,20,729,single,4,466.8523,42.8318,20,29,58,5904.53197
83,20,1327,single,4,466.8523,56.99253,20,29,58,5904.53197
84,21,90,single,4,452.4366,139.0284,21,29,58,5886.62111
85,21,149,single,4,452.4366,147.0088,21,29,58,5886.62111
86,21,445,single,4,452.4366,53.4214,21,29,58,5886.62111
87,21,1205,single,4,452.4366,59.5107,21,29,58,5886.62111
88,22,278,single,6,490.59964,141.961,4,29,58,5924.89665
89,22,1063,single,6,490.59964,144.2953,4,29,58,5924.89665
90,22,1353,single,6,490.59964,12.5776,4,29,58,5924.89665
91,22,1333,single,6,490.59964,52.35167,4,29,58,5924.89665
92,22,1253,single,6,490.59964,70.40759,4,29,58,5924.89665
93,22,513,single,6,490.59964,85.9653,4,29,58,5924.89665
94,23,212,single,4,461.0622,135.5892,7,30,60,6059.75464
95,23,25,single,4,461.0622,150.8759,7,30,60,6059.75464
96,23,1365,single,4,461.0622,12.3828,7,30,60,6059.75464
97,23,443,single,4,461.0622,53.4841,7,30,60,6059.75464
98,24,303,single,4,496.4978,109.9406,10,30,60,6061.42143
99,24,174,single,4,496.4978,138.1982,10,30,60,6061.42143
100,24,1016,single,4,496.4978,148.3524,10,30,60,6061.42143
101,24,1149,single,4,496.4978,62.6294,10,30,60,6061.42143
102,25,275,single,6,496.4797,132.1794,21,29,58,5886.62111
103,25,182,single,6,496.4797,138.2592,21,29,58,5886.62111
104,25,1422,single,6,496.4797,24.417,21,29,58,5886.62111
105,25,505,single,6,496.4797,50.0934,21,29,58,5886.62111
106,25,1145,single,6,496.4797,70.1286,21,29,58,5886.62111
107,25,485,single,6,496.4797,101.3127,21,29,58,5886.62111
108,26,964,single,6,493.55058,135.855,12,29,58,5856.84287
109,26,1364,single,6,493.55058,12.4063,12,29,58,5856.84287
110,26,1220,single,6,493.55058,55.11864,12,29,58,5856.84287
111,26,745,single,6,493.55058,99.5807,12,29,58,5856.84287
112,27,458,single,4,490.5692,115.481,9,28,56,5850.34882
113,27,210,single,4,490.5692,135.7941,9,28,56,5850.34882
114,27,24,single,4,490.5692,150.8607,9,28,56,5850.34882
115,27,973,single,4,490.5692,49.0847,9,28,56,5850.34882
116,28,211,single,4,450.3764,135.4799,2,28,56,5857.23326
117,28,1018,single,4,450.3764,151.1829,2,28,56,5857.23326
118,28,1373,single,4,450.3764,12.3994,2,28,56,5857.23326
119,28,840,single,4,450.3764,60.43869,2,28,56,5857.23326
120,29,990,single,6,494.36193,136.1441,16,30,60,5903.08506
121,29,590,single,6,494.36193,50.4737,16,30,60,5903.08506
122,29,753,single,6,494.36193,52.7709,16,30,60,5903.08506
123,29,1248,single,6,494.36193,80.7863,16,30,60,5903.08506
124,30,1081,single,4,483.62423,136.3683,19,28,56,5834.37495
125,30,909,single,4,483.62423,150.5179,19,28,56,5834.37495
126,30,1349,single,4,483.62423,12.9256,19,28,56,5834.37495
127,30,1425,single,4,483.62423,23.9386,19,28,56,5834.37495
128,31,28,single,6,491.6169,134.7185,8,29,58,5884.42103
129,31,215,single,6,491.6169,152.1855,8,29,58,5884.42103
130,31,1367,single,6,491.6169,12.3806,8,29,58,5884.42103
131,31,610,single,6,491.6169,80.6271,8,29,58,5884.42103
132,31,421,single,6,491.6169,90.1012,8,29,58,5884.42103
133,31,56,single,6,491.6169,97.2976,8,29,58,5884.42103
134,32,1080,single,4,452.5671,136.477,12,29,58,5856.84287
135,32,86,single,4,452.5671,150.4488,12,29,58,5856.84287
136,32,1375,single,4,452.5671,12.4002,12,29,58,5856.84287
137,32,811,single,4,452.5671,52.6726,12,29,58,5856.84287
138,33,1030,single,4,444.3196,138.1946,16,30,60,5903.08506
139,33,937,single,4,444.3196,148.7713,16,30,60,5903.08506
140,33,1410,single,4,444.3196,19.9105,16,30,60,5903.08506
141,33,1034,single,4,444.3196,52.9326,16,30,60,5903.08506
142,34,83,single,4,451.00011,136.8476,7,30,60,6059.75464
143,34,80,single,4,451.00011,150.3797,7,30,60,6059.75464
144,34,1427,single,4,451.00011,23.9436,7,30,60,6059.75464
145,34,702,single,4,451.00011,101.5189,7,30,60,6059.75464
146,35,122,single,4,454.3138,127.8846,4,29,58,5924.89665
147,35,79,single,4,454.3138,159.4401,4,29,58,5924.89665
148,35,1381,single,4,454.3138,12.2151,4,29,58,5924.89665
149,35,1477,single,4,454.3138,27.7127,4,29,58,5924.89665
150,36,82,single,6,495.47567,136.9986,14,28,56,5912.37323
151,36,87,single,6,495.47567,150.3618,14,28,56,5912.37323
152,36,1241,single,6,495.47567,77.4395,14,28,56,5912.37323
153,36,544,single,6,495.47567,82.9823,14,28,56,5912.37323
154,36,899,single,6,495.47567,94.5579,14,28,56,5912.37323
155,36,954,single,6,495.47567,98.69173,14,28,56,5912.37323
156,37,217,single,4,502.0673,103.9479,25,29,58,5981.63386
157,37,1005,single,4,502.0673,128.1621,25,29,58,5981.63386
158,37,508,single,4,502.0673,182.0448,25,29,58,5981.63386
159,37,1456,single,4,502.0673,23.4491,25,29,58,5981.63386
160,38,22,single,4,461.5405,132.7535,13,30,60,5865.92746
161,38,140,single,4,461.5405,154.7615,13,30,60,5865.92746
162,38,1342,single,4,461.5405,12.9065,13,30,60,5865.92746
163,38,1388,single,4,461.5405,20.3805,13,30,60,5865.92746
164,39,1031,single,4,467.8325,138.0778,10,30,60,6061.42143
165,39,299,single,4,467.8325,149.4702,10,30,60,6061.42143
166,39,1133,single,4,467.8325,46.6002,10,30,60,6061.42143
167,39,721,single,4,467.8325,52.481,10,30,60,6061.42143
168,40,20,single,4,453.4524,132.8645,19,28,56,5834.37495
169,40,141,single,4,453.4524,154.6888,19,28,56,5834.37495
170,40,1385,single,4,453.4524,12.2131,19,28,56,5834.37495
171,40,1244,single,4,453.4524,49.5474,19,28,56,5834.37495
172,41,213,single,4,469.83678,135.4372,6,29,58,5859.27776
173,41,214,single,4,469.83678,152.1361,6,29,58,5859.27776
174,41,1269,single,4,469.83678,43.9495,6,29,58,5859.27776
175,41,1314,single,4,469.83678,53.04692,6,29,58,5859.27776
176,42,50,single,4,455.8513,133.9072,8,29,58,5884.42103
177,42,792,single,4,455.8513,153.6986,8,29,58,5884.42103
178,42,1204,single,4,455.8513,55.24181,8,29,58,5884.42103
179,42,781,single,4,455.8513,62.53821,8,29,58,5884.42103
180,43,175,single,4,462.8631,138.1856,9,28,56,5850.34882
181,43,298,single,4,462.8631,149.4393,9,28,56,5850.34882
182,43,1487,single,4,462.8631,27.6267,9,28,56,5850.34882
183,43,841,single,4,462.8631,60.38065,9,28,56,5850.34882
184,44,23,single,6,504.039,132.6999,17,28,56,5893.57518
185,44,246,single,6,504.039,137.4969,17,28,56,5893.57518
186,44,1382,single,6,504.039,12.1958,17,28,56,5893.57518
187,44,1413,single,6,504.039,24.3952,17,28,56,5893.57518
188,44,1298,single,6,504.039,97.3247,17,28,56,5893.57518
189,44,804,single,6,504.039,97.8664,17,28,56,5893.57518
190,45,247,single,6,496.82223,137.4574,21,29,58,5886.62111
191,45,81,single,6,496.82223,150.2584,21,29,58,5886.62111
192,45,1497,single,6,496.82223,27.447,21,29,58,5886.62111
193,45,1238,single,6,496.82223,83.0237,21,29,58,5886.62111
194,45,643,single,6,496.82223,90.24048,21,29,58,5886.62111
195,45,709,single,6,496.82223,97.1818,21,29,58,5886.62111
196,46,145,single,4,457.8502,134.1107,13,30,60,5865.92746
197,46,793,single,4,457.8502,153.6114,13,30,60,5865.92746
198,46,1428,single,4,457.8502,23.9413,13,30,60,5865.92746
199,46,1206,single,4,457.8502,59.5171,13,30,60,5865.92746
200,47,144,single,4,483.7174,134.1629,16,30,60,5903.08506
201,47,976,single,4,483.7174,153.6065,16,30,60,5903.08506
202,47,477,single,4,483.7174,49.961,16,30,60,5903.08506
203,47,986,single,4,483.7174,56.65971,16,30,60,5903.08506
204,48,1047,single,6,493.15914,132.2247,22,29,58,5939.77161
205,48,1004,single,6,493.15914,155.5504,22,29,58,5939.77161
206,48,1399,single,6,493.15914,20.3781,22,29,58,5939.77161
207,48,932,single,6,493.15914,50.3246,22,29,58,5939.77161
208,48,1283,single,6,493.15914,65.1748,22,29,58,5939.77161
209,48,1267,single,6,493.15914,73.68408,22,29,58,5939.77161
