,Slinks,Lpgbt Id,link variable,Total lpGBT of Slinks,total rate,lpGBT Rates,FPGA,Event-Buffer,Total lpGBT of FPGA,Total Rate of FPGA
0,1,200,single,4.0,465.3248,200.25310000000002,26.0,30.0,55.0,5483.606559984858
1,1,711,single,4.0,465.3248,97.2717,26.0,30.0,55.0,5483.606559984858
2,1,1144,single,4.0,465.3248,70.0128,26.0,30.0,55.0,5483.606559984858
3,1,794,single,4.0,465.3248,97.7872,26.0,30.0,55.0,5483.606559984858
4,2,658,single,4.0,461.25548,200.3191,27.0,30.0,53.0,5471.04649
5,2,1158,single,4.0,461.25548,72.30969999999999,27.0,30.0,53.0,5471.04649
6,2,1066,single,4.0,461.25548,89.08778,27.0,30.0,53.0,5471.04649
7,2,1052,single,4.0,461.25548,99.5389,27.0,30.0,53.0,5471.04649
8,3,202,single,5.0,447.93449999999996,200.3193,5.0,30.0,54.0,5478.26285
9,3,869,single,5.0,447.93449999999996,96.586,5.0,30.0,54.0,5478.26285
10,3,370,single,5.0,447.93449999999996,80.9265,5.0,30.0,54.0,5478.26285
11,3,1318,single,5.0,447.93449999999996,49.724599999999995,5.0,30.0,54.0,5478.26285
12,3,1399,single,5.0,447.93449999999996,20.3781,5.0,30.0,54.0,5478.26285
13,4,911,single,7.0,444.27553,81.63197,17.0,30.0,55.0,5520.83635
14,4,1264,single,7.0,444.27553,65.7261,17.0,30.0,55.0,5520.83635
15,4,1374,single,7.0,444.27553,12.4012,17.0,30.0,55.0,5520.83635
16,4,1134,single,7.0,444.27553,55.844359999999995,17.0,30.0,55.0,5520.83635
17,4,1468,single,7.0,444.27553,27.9858,17.0,30.0,55.0,5520.83635
18,5,656,single,5.0,470.82353,200.74779999999998,17.0,30.0,55.0,5520.83635
19,5,979,single,5.0,470.82353,89.9805,17.0,30.0,55.0,5520.83635
20,5,1178,single,5.0,470.82353,64.2833,17.0,30.0,55.0,5520.83635
21,5,873,single,5.0,470.82353,59.84712999999999,17.0,30.0,55.0,5520.83635
22,5,595,single,5.0,470.82353,55.9648,17.0,30.0,55.0,5520.83635
23,6,865,single,5.0,463.9566,92.46369999999999,22.0,29.0,53.0,5538.50017
24,6,1147,single,5.0,463.9566,68.775,22.0,29.0,53.0,5538.50017
25,6,365,single,5.0,463.9566,101.64210000000001,22.0,29.0,53.0,5538.50017
26,7,690,single,5.0,456.49395000000004,205.537,20.0,29.0,52.0,5486.72167
27,7,340,single,5.0,456.49395000000004,91.02380000000001,20.0,29.0,52.0,5486.72167
28,7,736,single,5.0,456.49395000000004,77.2863,20.0,29.0,52.0,5486.72167
29,7,1110,single,5.0,456.49395000000004,54.92275,20.0,29.0,52.0,5486.72167
30,7,1473,single,5.0,456.49395000000004,27.7241,20.0,29.0,52.0,5486.72167
31,8,688,single,5.0,469.55462,205.90820000000002,17.0,30.0,55.0,5520.83635
32,8,944,single,5.0,469.55462,75.01994000000002,17.0,30.0,55.0,5520.83635
33,8,1252,single,5.0,469.55462,70.43782,17.0,30.0,55.0,5520.83635
34,8,1148,single,5.0,469.55462,62.641,17.0,30.0,55.0,5520.83635
35,8,1171,single,5.0,469.55462,55.54766,17.0,30.0,55.0,5520.83635
36,9,470,single,6.0,451.1409,206.6837,27.0,30.0,53.0,5471.04649
37,9,796,single,6.0,451.1409,78.0308,27.0,30.0,53.0,5471.04649
38,9,1077,single,6.0,451.1409,63.4393,27.0,30.0,53.0,5471.04649
39,9,1478,single,6.0,451.1409,27.7235,27.0,30.0,53.0,5471.04649
40,9,1040,single,6.0,451.1409,55.3501,27.0,30.0,53.0,5471.04649
41,9,1407,single,6.0,451.1409,19.9135,27.0,30.0,53.0,5471.04649
42,10,472,single,4.0,473.51629999999994,206.69279999999998,9.0,30.0,55.0,5494.77359
43,10,1009,single,4.0,473.51629999999994,94.1201,9.0,30.0,55.0,5494.77359
44,10,550,single,4.0,473.51629999999994,98.04629999999999,9.0,30.0,55.0,5494.77359
45,10,650,single,4.0,473.51629999999994,74.6571,9.0,30.0,55.0,5494.77359
46,11,594,single,4.0,471.53013999999996,208.39139999999998,17.0,30.0,55.0,5520.83635
47,11,829,single,4.0,471.53013999999996,85.71390000000001,17.0,30.0,55.0,5520.83635
48,11,940,single,4.0,471.53013999999996,84.39239999999998,17.0,30.0,55.0,5520.83635
49,11,676,single,4.0,471.53013999999996,93.03244,17.0,30.0,55.0,5520.83635
50,12,592,single,4.0,468.5624,208.6793,3.0,30.0,55.0,5546.324860000001
51,12,1214,single,4.0,468.5624,68.9031,3.0,30.0,55.0,5546.324860000001
52,12,770,single,4.0,468.5624,97.365,3.0,30.0,55.0,5546.324860000001
53,12,803,single,4.0,468.5624,93.615,3.0,30.0,55.0,5546.324860000001
54,13,387,single,4.0,454.0005,209.7867,3.0,30.0,55.0,5546.324860000001
55,13,1056,single,4.0,454.0005,97.44810000000001,3.0,30.0,55.0,5546.324860000001
56,13,1195,single,4.0,454.0005,95.69649999999999,3.0,30.0,55.0,5546.324860000001
57,13,785,single,4.0,454.0005,51.0692,3.0,30.0,55.0,5546.324860000001
58,14,386,single,4.0,460.41819999999996,209.97379999999998,9.0,30.0,55.0,5494.77359
59,14,1263,single,4.0,460.41819999999996,85.9288,9.0,30.0,55.0,5494.77359
60,14,651,single,4.0,460.41819999999996,74.5613,9.0,30.0,55.0,5494.77359
61,14,425,single,4.0,460.41819999999996,89.95430000000002,9.0,30.0,55.0,5494.77359
62,15,500,single,4.0,442.70230000000004,210.1307,6.0,30.0,56.0,5454.78527
63,15,517,single,4.0,442.70230000000004,101.4553,6.0,30.0,56.0,5454.78527
64,15,1280,single,4.0,442.70230000000004,65.31020000000001,6.0,30.0,56.0,5454.78527
65,15,972,single,4.0,442.70230000000004,65.8061,6.0,30.0,56.0,5454.78527
66,16,357,single,5.0,453.9001999999999,210.1666,5.0,30.0,54.0,5478.26285
67,16,647,single,5.0,453.9001999999999,99.4091,5.0,30.0,54.0,5478.26285
68,16,746,single,5.0,453.9001999999999,72.07600000000001,5.0,30.0,54.0,5478.26285
69,16,1324,single,5.0,453.9001999999999,48.7994,5.0,30.0,54.0,5478.26285
70,16,1456,single,5.0,453.9001999999999,23.4491,5.0,30.0,54.0,5478.26285
71,17,502,single,5.0,456.27791,210.2038,20.0,29.0,52.0,5486.72167
72,17,766,single,5.0,456.27791,79.44829999999999,20.0,29.0,52.0,5486.72167
73,17,515,single,5.0,456.27791,85.7589,20.0,29.0,52.0,5486.72167
74,17,1330,single,5.0,456.27791,56.45791,20.0,29.0,52.0,5486.72167
75,17,1420,single,5.0,456.27791,24.409000000000002,20.0,29.0,52.0,5486.72167
76,18,356,single,6.0,441.80053,210.23329999999999,7.0,29.0,55.0,5404.5602
77,18,1172,single,6.0,441.80053,69.122,7.0,29.0,55.0,5404.5602
78,18,1007,single,6.0,441.80053,76.38503,7.0,29.0,55.0,5404.5602
79,18,1373,single,6.0,441.80053,12.3994,7.0,29.0,55.0,5404.5602
80,18,1317,single,6.0,441.80053,49.2338,7.0,29.0,55.0,5404.5602
81,18,1415,single,6.0,441.80053,24.427,7.0,29.0,55.0,5404.5602
82,19,72,single,4.0,469.2315,211.6275,5.0,30.0,54.0,5478.26285
83,19,587,single,4.0,469.2315,76.2787,5.0,30.0,54.0,5478.26285
84,19,743,single,4.0,469.2315,91.08482,5.0,30.0,54.0,5478.26285
85,19,643,single,4.0,469.2315,90.24047999999999,5.0,30.0,54.0,5478.26285
86,20,74,single,5.0,446.6463,211.6944,4.0,30.0,54.0,5445.847860015299
87,20,390,single,5.0,446.6463,95.5751,4.0,30.0,54.0,5445.847860015299
88,20,931,single,5.0,446.6463,68.838,4.0,30.0,54.0,5445.847860015299
89,20,1425,single,5.0,446.6463,23.9386,4.0,30.0,54.0,5445.847860015299
90,20,1133,single,5.0,446.6463,46.6002,4.0,30.0,54.0,5445.847860015299
91,21,626,single,4.0,439.18600000000004,213.5566,23.0,29.0,54.0,5426.7255399999995
92,21,607,single,4.0,439.18600000000004,100.07140000000001,23.0,29.0,54.0,5426.7255399999995
93,21,1130,single,4.0,439.18600000000004,64.8164,23.0,29.0,54.0,5426.7255399999995
94,21,1268,single,4.0,439.18600000000004,60.74159999999999,23.0,29.0,54.0,5426.7255399999995
95,22,624,single,4.0,467.50576,214.11989999999997,25.0,30.0,51.0,5532.28901
96,22,704,single,4.0,467.50576,80.9778,25.0,30.0,51.0,5532.28901
97,22,1291,single,4.0,467.50576,72.86676,25.0,30.0,51.0,5532.28901
98,22,734,single,4.0,467.50576,99.5413,25.0,30.0,51.0,5532.28901
99,23,136,single,4.0,452.22469,214.637,21.0,29.0,53.0,5461.821340000041
100,23,1104,single,4.0,452.22469,87.06454000000001,21.0,29.0,53.0,5461.821340000041
101,23,613,single,4.0,452.22469,95.19628,21.0,29.0,53.0,5461.821340000041
102,23,1211,single,4.0,452.22469,55.32687,21.0,29.0,53.0,5461.821340000041
103,24,138,single,4.0,439.4644,214.7686,7.0,29.0,55.0,5404.5602
104,24,702,single,4.0,439.4644,101.5189,7.0,29.0,55.0,5404.5602
