,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
0,0,296.65999999999997,9.0,1,2.5,0.0,296.0,2,False,9.49312,1054.791111111111
1,1,83.4939,3.0,1,4.0,0.0,320.0,1,False,2.6718048,890.6016
2,2,142.4875,5.0,1,6.5,0.0,360.0,4,False,4.5596000000000005,911.9200000000001
3,3,240.4057,7.0,1,4.666666666666667,1.3333333333333333,332.0,3,False,7.6929824,1098.9974857142856
4,4,122.45580000000001,4.0,1,7.5,1.0,377.0,4,False,3.9185856000000006,979.6464000000001
5,5,326.8147,10.0,1,4.0,2.0,322.0,3,False,10.4580704,1045.8070400000001
6,6,259.373,8.0,1,2.5,1.5,297.5,2,False,8.299936,1037.4920000000002
7,7,96.1745,3.0,1,4.0,3.0,323.0,1,False,3.077584,1025.8613333333333
8,8,132.8645,4.0,1,7.5,2.0,378.0,4,False,4.251664,1062.916
9,9,104.99390000000001,4.0,1,8.5,3.0,395.0,4,False,3.3598048000000005,839.9512000000001
10,10,134.7185,6.0,1,9.333333333333334,4.666666666666667,410.0,6,False,4.310992000000001,718.4986666666667
11,11,150.86069999999998,5.0,1,8.0,5.0,389.0,5,False,4.8275424,965.5084799999998
12,12,132.7535,4.0,1,7.5,5.5,381.5,4,False,4.248112,1062.028
13,13,176.14950000000002,6.0,1,7.0,6.0,374.0,5,False,5.6367840000000005,939.464
14,14,296.52,9.0,1,2.5,2.5,298.5,2,False,9.48864,1054.2933333333333
15,15,83.4256,3.0,1,4.0,4.0,324.0,1,False,2.6696192,889.8730666666667
16,16,142.2112,5.0,1,6.5,6.5,366.5,4,False,4.550758399999999,910.1516799999999
17,17,240.2424,7.0,1,3.3333333333333335,4.666666666666667,314.0,3,False,7.6877568,1098.2509714285713
18,18,122.5056,4.0,1,6.5,7.5,367.5,4,False,3.9201792,980.0448
19,19,326.8152,10.0,1,2.0,4.0,292.0,3,False,10.458086400000001,1045.80864
20,20,259.432,8.0,1,1.0,2.5,274.5,2,False,8.301824,1037.728
21,21,96.0043,3.0,1,1.0,4.0,276.0,1,False,3.0721376,1024.0458666666666
22,22,132.65810000000002,4.0,1,5.5,7.5,351.5,4,False,4.245059200000001,1061.2648000000002
23,23,105.0616,4.0,1,5.5,8.5,352.5,4,False,3.3619712,840.4928
24,24,134.7113,6.0,1,4.666666666666667,9.333333333333334,340.0,6,False,4.3107616,718.4602666666666
25,25,150.8759,5.0,1,3.0,8.0,312.0,5,False,4.8280288,965.60576
26,26,132.6999,4.0,1,2.0,7.5,295.5,4,False,4.2463968,1061.5992
27,27,176.1,6.0,1,1.0,7.0,279.0,5,False,5.6352,939.1999999999999
28,28,318.978,9.0,2,2.5,0.0,552.0,2,False,10.207296000000001,1134.1440000000002
29,29,88.2866,3.0,2,4.0,0.0,576.0,1,False,2.8251712,941.7237333333334
30,30,145.3125,5.0,2,6.5,0.0,616.0,4,False,4.65,930.0
