,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
0,12,240.4057,7,1,4.66666666666667,1.33333333333333,332,3,False,7.6929824,1098.99748571429
1,13,240.2424,7,1,3.33333333333333,4.66666666666667,314,3,False,7.6877568,1098.25097142857
2,14,142.4875,5,1,6.5,0,360,4,False,4.5596,911.92
3,15,142.2112,5,1,6.5,6.5,366.5,4,False,4.5507584,910.15168
4,16,176.1495,6,1,7,6,374,5,False,5.636784,939.464
5,17,176.1,6,1,1,7,279,5,False,5.6352,939.2
6,18,122.4558,4,1,7.5,1,377,4,False,3.9185856,979.6464
7,19,122.5056,4,1,6.5,7.5,367.5,4,False,3.9201792,980.0448
8,20,132.8645,4,1,7.5,2,378,4,False,4.251664,1062.916
9,21,132.6581,4,1,5.5,7.5,351.5,4,False,4.2450592,1061.2648
10,22,132.7535,4,1,7.5,5.5,381.5,4,False,4.248112,1062.028
11,23,132.6999,4,1,2,7.5,295.5,4,False,4.2463968,1061.5992
12,24,150.8607,5,1,8,5,389,5,False,4.8275424,965.50848
13,25,150.8759,5,1,3,8,312,5,False,4.8280288,965.60576
14,26,104.9939,4,1,8.5,3,395,4,False,3.3598048,839.9512
15,27,105.0616,4,1,5.5,8.5,352.5,4,False,3.3619712,840.4928
16,28,134.7185,6,1,9.33333333333333,4.66666666666667,410,6,False,4.310992,718.498666666667
17,29,134.7113,6,1,4.66666666666667,9.33333333333333,340,6,False,4.3107616,718.460266666667
18,42,262.9341,7,2,4.66666666666667,2.33333333333333,589,3,False,8.4138912,1201.98445714286
19,43,262.6971,7,2,2.33333333333333,4.66666666666667,554,3,False,8.4063072,1200.90102857143
20,44,145.3125,5,2,6.5,0,616,4,False,4.65,930
21,45,145.3737,5,2,6.5,6.5,622.5,4,False,4.6519584,930.39168
22,46,178.1,6,2,7,6,630,5,False,5.6992,949.866666666667
23,47,177.9404,6,2,1,7,535,5,False,5.6940928,949.015466666667
24,48,119.8868,4,2,7.5,1,633,4,False,3.8363776,959.0944
25,49,119.8472,4,2,6.5,7.5,623.5,4,False,3.8351104,958.7776
26,50,133.9072,4,2,7.5,5.5,637.5,4,False,4.2850304,1071.2576
27,51,133.7812,4,2,2,7.5,551.5,4,False,4.2809984,1070.2496
28,52,133.8687,4,2,7.5,2,634,4,False,4.2837984,1070.9496
29,53,133.7296,4,2,5.5,7.5,607.5,4,False,4.2793472,1069.8368
30,54,144.5187,4,2,7.5,4.5,636.5,4,False,4.6245984,1156.1496
31,55,144.4183,4,2,3,7.5,567.5,4,False,4.6213856,1155.3464
32,56,97.2976,3,2,8,4,644,3,False,3.1135232,1037.84106666667
33,57,97.2398,3,2,4,8,584,3,False,3.1116736,1037.22453333333
34,58,83.9619,3,2,8.66666666666667,3.33333333333333,654,3,False,2.6867808,895.5936
35,59,83.872,3,2,5.33333333333333,8.66666666666667,606,3,False,2.683904,894.634666666667
36,72,211.6275,7,3,4.5,2.5,842.5,2,False,6.77208,967.44
37,73,87.4057,3,3,5,2,850,1,False,2.7969824,932.327466666667
38,74,211.6944,7,3,2,4.5,804.5,2,False,6.7742208,967.745828571429
