,Layer,U,V,Type,Shape,cells,cmssw_type,cmssw_shape,cmssw_cells,nHitsTotal,corrFactorTotal,nHistsToA,corrFactorToA,nHitsBXM1,corrFactorBXM1,EvSize
0,1,1,2,0,d,160,0,d,157,85.968,1.02084,9.6126,1.000021,32.0314,1.023702,73.382
1,1,1,3,0,F,432,0,F,432,180.6754,1.0,15.4498,1.0,50.619,1.0,141.3956
2,1,1,4,0,F,432,0,F,432,96.0436,1.0,6.2694,1.0,17.8984,1.0,87.1634
3,1,1,5,0,F,432,0,F,432,54.4374,1.0,3.2242,1.0,8.5182,1.0,62.8912
4,1,1,6,1,F,192,1,F,192,33.2676,1.0,7.4786,1.0,9.713,1.0,39.998
5,1,1,7,1,F,192,1,F,192,20.8008,1.0,4.4554,1.0,5.8982,1.0,31.4504
6,1,1,8,1,F,192,1,F,192,12.2284,1.0,3.0846,1.0,2.0624,1.0,24.7936
7,1,1,9,1,b,164,1,F,192,5.8356,0.856501,1.51,0.936291,1.0902,0.955971,15.6694
8,1,2,0,0,g,307,0,g,294,160.2288,1.044303,16.8022,1.050279,56.7994,1.044173,132.8374
9,1,2,1,0,d,160,0,d,157,85.873,1.020926,9.5734,1.000021,31.9722,1.023721,73.3006
10,1,2,2,0,g,307,0,g,293,158.2074,1.047852,16.9558,1.05328,56.574,1.047729,132.0752
11,1,2,3,0,F,432,0,F,432,180.7454,1.0,15.5796,1.0,50.669,1.0,141.4978
12,1,2,4,0,F,432,0,F,432,104.5704,1.0,6.9958,1.0,20.3146,1.0,92.0824
13,1,2,5,0,F,432,0,F,432,61.1572,1.0,3.6332,1.0,9.8142,1.0,66.8416
14,1,2,6,1,F,192,1,F,192,39.2196,1.0,5.0664,1.0,11.365,1.0,42.133
15,1,2,7,1,F,192,1,F,192,23.5614,1.0,5.166,1.0,6.6252,1.0,33.3276
16,1,2,8,1,F,192,1,F,192,14.8166,1.0,3.5844,1.0,3.1976,1.0,27.0802
17,1,2,9,1,L,226,1,F,192,8.56,1.177243,2.1756,1.16446,1.5632,1.139841,24.6356
18,1,3,0,0,F,432,0,F,432,141.3446,1.0,10.6004,1.0,32.8662,1.0,115.26
19,1,3,1,0,F,432,0,F,432,180.498,1.0,15.4896,1.0,50.5008,1.0,141.311
20,1,3,2,0,F,432,0,F,432,180.545,1.0,15.3914,1.0,50.6458,1.0,141.3466
21,1,3,3,0,F,432,0,F,432,141.4746,1.0,10.7674,1.0,33.0226,1.0,115.4692
22,1,3,4,0,F,432,0,F,432,96.0172,1.0,6.235,1.0,17.8832,1.0,87.1496
23,1,3,5,0,F,432,0,F,432,61.5196,1.0,3.6114,1.0,9.8372,1.0,67.0078
24,1,3,6,1,F,192,1,F,192,41.2456,1.0,5.3642,1.0,11.921,1.0,43.3958
25,1,3,7,1,F,192,1,F,192,25.5784,1.0,5.642,1.0,7.3026,1.0,34.7512
26,1,3,8,1,F,192,1,F,192,16.3568,1.0,3.806,1.0,3.9154,1.0,28.2422
27,1,3,9,1,F,192,1,F,192,9.8646,1.0,2.545,1.0,1.7232,1.0,22.7068
28,1,3,10,1,a,100,1,a,142,3.1632,0.709345,0.7928,0.754541,0.576,0.780556,9.6024
29,1,4,0,0,F,432,0,F,432,75.7364,1.0,4.6888,1.0,12.8962,1.0,75.477
30,1,4,1,0,F,432,0,F,432,95.7482,1.0,6.2414,1.0,17.9022,1.0,87.007
31,1,4,2,0,F,432,0,F,432,104.4442,1.0,6.9696,1.0,20.3968,1.0,92.04
32,1,4,3,0,F,432,0,F,432,95.855,1.0,6.2994,1.0,17.9024,1.0,87.107
33,1,4,4,0,F,432,0,F,432,75.7222,1.0,4.6326,1.0,12.9788,1.0,75.4492
34,1,4,5,0,F,432,0,F,432,54.3656,1.0,3.1468,1.0,8.5506,1.0,62.8008
35,1,4,6,1,F,192,1,F,192,39.2146,1.0,5.1406,1.0,11.1608,1.0,42.1276
36,1,4,7,1,F,192,1,F,192,25.5944,1.0,5.6258,1.0,7.2568,1.0,34.724
37,1,4,8,1,F,192,1,F,192,17.0584,1.0,3.9294,1.0,4.2106,1.0,28.7998
38,1,4,9,1,F,192,1,F,192,10.7248,1.0,2.7418,1.0,1.8698,1.0,23.5248
39,1,4,10,1,b,164,1,b,178,5.3886,0.941543,1.374,0.995197,0.9788,0.997548,15.8368
40,1,5,0,1,F,192,1,F,192,45.6164,1.0,6.0292,1.0,13.3188,1.0,46.2486
41,1,5,1,0,F,432,0,F,432,54.5656,1.0,3.179,1.0,8.4802,1.0,63.005
42,1,5,2,0,F,432,0,F,432,61.4062,1.0,3.615,1.0,9.9216,1.0,66.9902
43,1,5,3,0,F,432,0,F,432,61.4536,1.0,3.6142,1.0,9.8716,1.0,66.9594
44,1,5,4,0,F,432,0,F,432,54.3826,1.0,3.1212,1.0,8.5082,1.0,62.7808
45,1,5,5,1,F,192,1,F,192,45.5456,1.0,6.0088,1.0,13.3956,1.0,46.201
46,1,5,6,1,F,192,1,F,192,33.168,1.0,7.4176,1.0,9.5884,1.0,39.8836
47,1,5,7,1,F,192,1,F,192,23.781,1.0,5.2574,1.0,6.7236,1.0,33.5088
48,1,5,8,1,F,192,1,F,192,16.3746,1.0,3.7342,1.0,3.9612,1.0,28.2614
49,1,5,9,1,F,192,1,F,192,10.7754,1.0,2.707,1.0,1.8804,1.0,23.509
50,1,5,10,1,d,100,1,d,186,3.6024,0.570231,0.919,0.706638,0.661,0.743116,9.3744
51,1,6,0,1,F,192,1,F,192,26.7594,1.0,5.8884,1.0,7.6634,1.0,35.5242
52,1,6,1,1,F,192,1,F,192,33.0988,1.0,7.4918,1.0,9.6296,1.0,39.8808
53,1,6,2,1,F,192,1,F,192,39.1724,1.0,5.1326,1.0,11.2532,1.0,42.1264
54,1,6,3,1,F,192,1,F,192,41.453,1.0,5.4476,1.0,12.0666,1.0,43.6218
55,1,6,4,1,F,192,1,F,192,39.0702,1.0,5.067,1.0,11.1986,1.0,42.0088
