,Layer,U,V,Type,Shape,ADCHits,TOXHits,EvSize,EvSizeXCheck,Elinks
0,1,3,2,HD,F,155.139,13.4736,151.878,148,5
1,1,2,1,HD,d,109.195,13.9637,107.495,108,3
2,1,4,3,HD,F,83.5257,5.64959,96.1745,93,3
3,1,1,3,HD,F,155.107,13.5311,151.899,149,5
4,1,1,2,HD,d,109.327,13.8942,107.533,108,3
5,1,1,4,HD,F,83.3465,5.60894,96.0043,93,3
6,1,3,0,HD,F,121.645,9.35179,125.365,122,4
7,1,2,0,HD,g,178.111,20.6561,171.295,172,5
8,1,4,0,HD,F,65.9424,4.21192,83.4939,85,3
9,1,3,3,HD,F,121.656,9.36637,125.377,122,4
10,1,2,2,HD,g,177.995,20.6316,171.143,172,5
11,1,4,4,HD,F,65.8314,4.21359,83.4256,85,3
12,1,4,2,HD,F,90.8027,6.24292,101.559,100,3
13,1,3,1,HD,F,155.13,13.4936,151.877,148,5
14,1,5,3,HD,F,53.6451,3.29475,73.3787,72,2
15,1,2,4,HD,F,90.7539,6.25897,101.542,100,3
16,1,2,3,HD,F,155.145,13.4618,151.85,148,5
17,1,2,5,HD,F,53.6719,3.29225,73.4232,72,2
18,1,5,2,HD,F,53.8662,3.31689,73.562,72,2
19,1,4,1,HD,F,83.4399,5.60248,96.0407,93,3
20,1,5,1,HD,F,50.7599,2.81921,70.803,69,2
21,1,3,5,HD,F,53.6725,3.28906,73.3991,72,2
22,1,3,4,HD,F,83.6386,5.60555,96.1781,93,3
23,1,4,5,HD,F,50.5979,2.8008,70.6652,69,2
24,1,5,0,LD,F,36.3604,5.35727,48.678,50,2
25,1,6,0,LD,F,21.8813,3.10603,36.7211,36,1
26,1,7,0,LD,F,14.257,1.96768,30.6477,31,1
27,1,8,0,LD,L,7.07623,2.3668,26.4407,26,1
28,1,5,5,LD,F,36.1598,5.34381,48.5377,50,2
29,1,6,6,LD,F,21.8226,3.09172,36.6738,36,1
30,1,7,7,LD,F,14.169,1.96275,30.5612,31,1
31,1,8,8,LD,L,7.08718,2.35376,26.4385,26,1
32,1,5,4,LD,F,44.6836,7.0495,55.7869,55,2
33,1,6,5,LD,F,27.4512,3.92345,41.0722,40,1
34,1,7,6,LD,F,17.0109,2.41151,33.0772,34,1
35,1,8,7,LD,F,8.78741,2.88184,26.6428,27,1
36,1,9,8,LD,b,4.8904,1.68881,19.5704,20,1
37,1,1,5,LD,F,44.7855,7.01265,55.8214,55,2
38,1,1,6,LD,F,27.4417,3.91696,41.0843,40,1
39,1,1,7,LD,F,16.9148,2.39161,32.993,34,1
40,1,1,8,LD,F,8.79156,2.89615,26.6569,27,1
41,1,1,9,LD,b,4.86174,1.69076,19.5444,20,1
42,1,6,1,LD,F,27.5126,3.92469,41.1219,41,1
43,1,7,1,LD,F,16.9664,2.42146,33.0478,34,1
44,1,8,1,LD,F,8.79184,2.88656,26.648,27,1
45,1,9,1,LD,F,4.94292,1.69879,21.6381,22,1
46,1,5,6,LD,F,27.6047,3.94518,41.2121,41,1
47,1,6,7,LD,F,16.9717,2.40729,33.06,34,1
48,1,7,8,LD,F,8.81619,2.88538,26.6732,27,1
49,1,8,9,LD,F,4.87327,1.68929,21.5603,22,1
50,1,6,2,LD,F,31.1956,4.55321,44.3375,45,1
51,1,7,2,LD,F,19.4079,2.78693,34.9496,36,1
52,1,8,2,LD,F,9.93079,3.22666,28.099,28,1
53,1,9,2,LD,L,6.35151,2.12863,25.4784,25,1
54,1,4,6,LD,F,31.0888,4.52937,44.234,45,1
55,1,5,7,LD,F,19.3515,2.74876,34.8767,36,1
56,1,6,8,LD,F,9.94427,3.20733,28.0917,28,1
57,1,7,9,LD,L,6.34443,2.11316,25.4557,25,1
58,1,6,4,LD,F,31.1241,4.54305,44.2881,45,1
59,1,7,5,LD,F,19.2891,2.75763,34.8482,36,1
60,1,8,6,LD,F,9.95312,3.22343,28.1159,28,1
61,1,9,7,LD,L,6.35066,2.15209,25.5013,25,1
62,1,2,6,LD,F,31.038,4.52118,44.1995,45,1
63,1,2,7,LD,F,19.2977,2.77136,34.8644,36,1
64,1,2,8,LD,F,9.92645,3.23045,28.1036,28,1
65,1,2,9,LD,L,6.38838,2.14601,25.5324,25,1
66,1,6,3,LD,F,32.8175,4.82549,45.7534,47,1
67,1,7,4,LD,F,21.0484,2.97357,36.1015,36,1
68,1,8,5,LD,F,14.4612,1.99156,30.833,31,1
69,1,9,6,LD,F,7.45479,2.47166,24.9136,24,1
70,1,10,7,LD,a,3.15999,1.12912,13.2592,13,1
71,1,3,6,LD,F,32.8408,4.81901,45.7623,47,1
72,1,3,7,LD,F,21.09,2.98123,36.141,36,1
73,1,3,8,LD,F,14.4103,1.98457,30.7808,31,1
74,1,3,9,LD,F,7.45532,2.46481,24.9077,24,1
75,1,3,10,LD,a,3.16495,1.14982,13.2841,13,1
76,1,7,3,LD,F,21.0894,2.97714,36.1276,36,1
77,1,8,3,LD,F,14.3585,1.98723,30.756,31,1
78,1,9,3,LD,F,7.4122,2.4892,24.8914,24,1
79,1,10,3,LD,a,3.11689,1.12813,13.2189,13,1
80,1,4,7,LD,F,21.1233,2.98668,36.1506,36,1
81,1,5,8,LD,F,14.344,1.98948,30.7364,31,1
82,1,6,9,LD,F,7.41655,2.47637,24.8836,24,1
83,1,7,10,LD,a,3.15635,1.16146,13.291,13,1
84,1,8,4,LD,F,14.8481,2.04197,31.1974,32,1
85,1,9,4,LD,F,7.96314,2.64615,25.5936,26,1
86,1,10,4,LD,b,4.15906,1.52182,18.6742,19,1
87,1,9,5,LD,F,7.96506,2.62331,25.5711,26,1
88,1,10,5,LD,d,4.46573,1.62412,15.0025,15,1
89,1,10,6,LD,b,4.17428,1.51167,18.6797,19,1
90,1,4,8,LD,F,14.8065,2.06187,31.175,32,1
91,1,5,9,LD,F,7.92799,2.63879,25.5513,26,1
92,1,6,10,LD,b,4.13095,1.49262,18.6179,18,1
93,1,4,9,LD,F,7.9762,2.67554,25.6342,26,1
94,1,5,10,LD,d,4.53301,1.6415,15.0802,16,1
95,1,4,10,LD,b,4.15993,1.49938,18.6527,18,1
96,2,3,0,HD,F,124.969,17.6157,135.77,134,4
97,2,2,0,HD,g,172.458,37.3324,183.208,182,5
98,2,4,0,HD,F,67.7857,7.64223,88.2866,91,3
99,2,3,3,HD,F,124.858,17.6054,135.703,134,4
100,2,2,2,HD,g,172.409,37.1601,183.001,182,5
101,2,4,4,HD,F,67.73,7.621,88.2352,91,3
102,2,3,2,HD,F,157.146,25.6334,165.304,162,5
103,2,2,1,HD,d,103.845,24.663,113.684,114,3
104,2,4,3,HD,F,85.7213,10.3671,102.254,99,3
105,2,1,3,HD,F,156.987,25.6439,165.205,162,5
106,2,1,2,HD,d,103.88,24.6073,113.665,114,3
107,2,1,4,HD,F,85.6247,10.3065,102.117,99,3
108,2,4,1,HD,F,85.57,10.3486,102.098,99,3
109,2,3,1,HD,F,157.109,25.6224,165.254,162,5
110,2,5,1,HD,F,51.0661,5.05908,73.2053,71,2
111,2,3,4,HD,F,85.8044,10.3325,102.263,99,3
112,2,2,3,HD,F,157.08,25.6843,165.293,162,5
113,2,4,5,HD,F,50.8684,5.03521,73.03,71,2
114,2,5,3,HD,F,55.2166,5.92034,77.106,76,2
115,2,4,2,HD,F,93.1814,11.611,108.564,108,3
116,2,5,2,HD,F,55.3626,5.95342,77.2641,76,2
117,2,2,5,HD,F,55.1878,5.93407,77.1143,76,2
118,2,2,4,HD,F,93.1232,11.5538,108.439,108,3
119,2,3,5,HD,F,55.2167,5.95608,77.1438,76,2
120,2,5,0,LD,F,36.5318,7.80215,51.2533,53,2
121,2,6,0,LD,F,22.1615,4.54337,38.2991,38,1
122,2,7,0,LD,F,13.9047,2.86699,31.2786,32,1
123,2,8,0,LD,F,6.5624,2.92299,24.4815,25,1
124,2,5,5,LD,F,36.4643,7.85686,51.2557,53,2
125,2,6,6,LD,F,22.1933,4.53643,38.3323,38,1
126,2,7,7,LD,F,13.8865,2.85037,31.253,32,1
127,2,8,8,LD,F,6.60954,2.92746,24.5327,25,1
128,2,5,4,LD,F,43.6599,10.3302,58.3794,57,2
129,2,6,5,LD,F,27.3875,5.75594,42.8647,42,1
130,2,7,6,LD,F,17.0133,3.55243,34.2396,36,1
131,2,8,7,LD,F,8.17075,3.62231,26.7803,27,1
132,2,9,8,LD,a,4.78453,2.14197,15.836,16,1
133,2,1,5,LD,F,43.624,10.3101,58.3305,57,2
134,2,1,6,LD,F,27.3399,5.75085,42.8178,42,1
135,2,1,7,LD,F,16.9719,3.54493,34.2178,36,1
136,2,1,8,LD,F,8.11917,3.64624,26.7535,27,1
137,2,1,9,LD,a,4.76784,2.13742,15.8208,16,1
138,2,6,1,LD,F,27.4699,5.78363,42.9385,42,1
139,2,7,1,LD,F,17.0492,3.55775,34.266,36,1
140,2,8,1,LD,F,8.1536,3.64913,26.7904,27,1
141,2,9,1,LD,a,4.82852,2.15261,15.8919,16,1
142,2,5,6,LD,F,27.5135,5.80498,42.9983,43,1
143,2,6,7,LD,F,17.01,3.53349,34.2172,36,1
144,2,7,8,LD,F,8.1335,3.6398,26.7622,27,1
145,2,8,9,LD,a,4.78544,2.17176,15.8695,16,1
146,2,6,4,LD,F,31.5951,6.70021,46.7894,48,1
147,2,7,5,LD,F,19.6864,4.0657,36.4062,37,1
148,2,8,6,LD,F,9.90481,4.10486,28.9629,29,1
149,2,9,7,LD,b,6.05743,2.6997,21.7487,22,1
150,2,2,6,LD,F,31.496,6.67403,46.6753,47,1
151,2,2,7,LD,F,19.6692,4.08155,36.4137,37,1
152,2,2,8,LD,F,9.89053,4.11181,28.9535,29,1
153,2,2,9,LD,b,6.04853,2.70012,21.7387,22,1
154,2,6,2,LD,F,31.537,6.68874,46.7194,48,1
155,2,7,2,LD,F,19.7642,4.07251,36.4504,37,1
156,2,8,2,LD,F,9.91729,4.1055,28.9692,29,1
157,2,9,2,LD,b,6.05122,2.68884,21.7297,22,1
158,2,4,6,LD,F,31.4743,6.65227,46.643,47,1
159,2,5,7,LD,F,19.6883,4.06958,36.4,37,1
160,2,6,8,LD,F,9.91476,4.09711,28.9633,29,1
161,2,7,9,LD,b,6.03879,2.69365,21.7233,22,1
162,2,6,3,LD,F,33.2798,7.12125,48.3778,49,1
163,2,7,4,LD,F,21.4133,4.42994,37.7642,37,1
164,2,8,5,LD,F,14.0874,2.89115,31.4477,32,1
165,2,9,6,LD,L,6.8672,3.06245,26.929,27,1
166,2,3,6,LD,F,33.2365,7.06399,48.2898,49,1
167,2,3,7,LD,F,21.4968,4.41788,37.8012,37,1
168,2,3,8,LD,F,13.9944,2.9122,31.3978,32,1
169,2,3,9,LD,L,6.85286,3.07717,26.9295,27,1
170,2,7,3,LD,F,21.468,4.41247,37.7848,37,1
171,2,8,4,LD,F,14.5158,3.0226,31.919,33,1
172,2,9,5,LD,L,7.31919,3.27563,27.5938,27,1
173,2,4,7,LD,F,21.4334,4.42877,37.7847,37,1
174,2,4,8,LD,F,14.4486,2.99496,31.8478,32,1
175,2,4,9,LD,L,7.34459,3.26385,27.6073,27,1
176,2,8,3,LD,F,14.0243,2.8967,31.4128,32,1
177,2,9,3,LD,F,6.85662,3.07403,24.9261,25,1
178,2,9,4,LD,L,7.3296,3.29448,27.623,27,1
179,2,5,8,LD,F,14.0724,2.89321,31.4475,32,1
180,2,6,9,LD,F,6.81447,3.04631,24.8573,25,1
181,2,5,9,LD,L,7.3235,3.24455,27.5672,27,1
182,3,3,0,HD,F,152.789,21.1208,157.978,156,5
183,3,2,0,HD,g,190.685,50.3256,210.609,213,5
184,3,4,0,HD,F,83.2872,8.5911,99.0488,96,3
185,3,3,3,HD,F,152.617,21.0887,157.839,156,5
186,3,2,2,HD,g,190.81,50.2872,210.631,213,5
187,3,4,4,HD,F,83.2776,8.59913,99.0474,96,3
188,3,3,2,HD,F,188.165,31.7881,192.422,191,6
189,3,2,1,HD,d,109.997,32.4663,126.686,127,3
190,3,4,3,HD,F,105.248,11.9528,117.198,120,4
191,3,1,3,HD,F,188.126,31.7339,192.348,191,6
192,3,1,2,HD,d,110.005,32.4977,126.725,127,3
193,3,1,4,HD,F,104.964,11.9017,116.953,120,4
194,3,4,1,HD,F,105.204,11.9533,117.175,120,4
195,3,3,1,HD,F,188.256,31.8449,192.564,191,5
196,3,5,1,HD,F,60.6825,5.77877,81.1193,82,2
197,3,3,4,HD,F,105.266,11.9296,117.186,120,4
198,3,2,3,HD,F,188.141,31.7708,192.387,191,5
199,3,4,5,HD,F,60.4701,5.74493,80.9208,81,2
200,3,5,3,HD,F,67.9579,6.60491,87.1375,90,3
201,3,4,2,HD,F,114.078,13.4093,124.49,124,4
202,3,5,2,HD,F,68.2803,6.66123,87.4057,90,3
203,3,2,5,HD,F,67.9979,6.60491,87.1494,90,3
204,3,2,4,HD,F,114.124,13.4462,124.545,124,4
205,3,3,5,HD,F,68.053,6.62261,87.2257,90,3
206,3,5,4,LD,F,48.331,12.4939,63.7004,63,2
207,3,6,5,LD,F,32.3342,6.84138,47.407,48,1
208,3,7,6,LD,F,20.2692,4.13762,36.7971,37,1
209,3,8,7,LD,F,9.92116,4.25984,29.0933,29,1
210,3,9,8,LD,b,5.89773,2.55621,21.4337,22,1
211,3,1,5,LD,F,48.3612,12.4438,63.6713,63,2
212,3,1,6,LD,F,32.3317,6.80261,47.3543,48,1
213,3,1,7,LD,F,20.1843,4.09965,36.6999,37,1
214,3,1,8,LD,F,9.88939,4.26171,29.065,29,1
215,3,1,9,LD,b,5.89727,2.55564,21.4345,22,1
216,3,5,0,LD,F,41.799,9.34321,56.1941,54,2
217,3,6,0,LD,F,26.1415,5.3386,41.6612,40,1
218,3,7,0,LD,F,16.2447,3.2986,33.3524,34,1
219,3,8,0,LD,L,7.68893,3.41254,28.0962,28,1
220,3,5,5,LD,F,41.8812,9.36582,56.2784,54,2
221,3,6,6,LD,F,26.1433,5.32086,41.6556,40,1
222,3,7,7,LD,F,16.2384,3.30513,33.3447,34,1
223,3,8,8,LD,L,7.76071,3.40635,28.1614,28,1
224,3,6,4,LD,F,37.0701,7.94982,51.7078,53,2
225,3,7,5,LD,F,23.4318,4.75268,39.3493,38,1
226,3,8,6,LD,F,12.3558,4.83201,31.8856,32,1
227,3,9,7,LD,L,7.24205,3.19784,27.437,27,1
228,3,2,6,LD,F,37.0221,7.93663,51.6622,53,2
229,3,2,7,LD,F,23.3654,4.75897,39.3111,38,1
230,3,2,8,LD,F,12.3367,4.83703,31.8751,32,1
231,3,2,9,LD,L,7.2215,3.19104,27.41,27,1
232,3,6,1,LD,F,32.4281,6.89056,47.5152,48,1
233,3,7,1,LD,F,20.3288,4.12802,36.8216,37,1
234,3,8,1,LD,F,9.96009,4.27054,29.1401,29,1
235,3,9,1,LD,F,5.95525,2.57121,23.5217,24,1
236,3,5,6,LD,F,32.4389,6.90302,47.5408,48,1
237,3,6,7,LD,F,20.2802,4.14035,36.7803,37,1
238,3,7,8,LD,F,9.89899,4.23297,29.048,29,1
239,3,8,9,LD,F,5.91029,2.57224,23.4785,24,1
