,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
1158,1378,12.189,5.0,40,15.0,2.0,10482.0,1,False,0.390048,78.0096
1160,1380,12.1951,5.0,40,15.0,4.0,10484.0,1,False,0.3902432,78.04864
1162,1382,12.1958,5.0,40,15.0,6.0,10486.0,1,False,0.3902656,78.05312
1159,1379,12.1976,5.0,40,15.0,3.0,10483.0,1,False,0.3903232,78.06464
1164,1384,12.1992,5.0,40,15.0,8.0,10488.0,1,False,0.3903744,78.07488000000001
1166,1386,12.2023,5.0,40,15.0,10.0,10490.0,1,False,0.3904736,78.09472
1167,1387,12.2093,5.0,40,15.0,11.0,10491.0,1,False,0.39069760000000003,78.13952
1157,1377,12.2107,5.0,40,15.0,1.0,10481.0,1,False,0.3907424,78.14847999999999
1165,1385,12.2131,5.0,40,15.0,9.0,10489.0,1,False,0.39081920000000003,78.16384000000001
1161,1381,12.2151,5.0,40,15.0,5.0,10485.0,1,False,0.3908832,78.17663999999999
1156,1376,12.2246,5.0,40,15.0,0.0,10480.0,1,False,0.3911872,78.23744
1163,1383,12.2254,5.0,40,15.0,7.0,10487.0,1,False,0.3912128,78.24256
1146,1366,12.3632,5.0,39,15.0,2.0,10226.0,1,False,0.39562240000000004,79.12448
1149,1369,12.3748,5.0,39,15.0,5.0,10229.0,1,False,0.3959936,79.19872000000001
1148,1368,12.3769,5.0,39,15.0,4.0,10228.0,1,False,0.3960608,79.21216
1147,1367,12.3806,5.0,39,15.0,3.0,10227.0,1,False,0.3961792,79.23584000000001
1145,1365,12.3828,5.0,39,15.0,1.0,10225.0,1,False,0.3962496,79.24992
1150,1370,12.3908,5.0,39,15.0,6.0,10230.0,1,False,0.3965056,79.30112
1152,1372,12.3921,5.0,39,15.0,8.0,10232.0,1,False,0.3965472,79.30944
1151,1371,12.3953,5.0,39,15.0,7.0,10231.0,1,False,0.39664960000000005,79.32992
1153,1373,12.3994,5.0,39,15.0,9.0,10233.0,1,False,0.3967808,79.35616
1155,1375,12.4002,5.0,39,15.0,11.0,10235.0,1,False,0.3968064,79.36128
1154,1374,12.4012,5.0,39,15.0,10.0,10234.0,1,False,0.3968384,79.36768
1144,1364,12.4063,5.0,39,15.0,0.0,10224.0,1,False,0.3970016,79.40032
1134,1354,12.5755,5.0,38,15.0,2.0,9970.0,1,False,0.402416,80.4832
1137,1357,12.5762,5.0,38,15.0,5.0,9973.0,1,False,0.40243840000000003,80.48768
1142,1362,12.5774,5.0,38,15.0,10.0,9978.0,1,False,0.4024768,80.49536
1133,1353,12.5776,5.0,38,15.0,1.0,9969.0,1,False,0.40248320000000004,80.49664000000001
1136,1356,12.5809,5.0,38,15.0,4.0,9972.0,1,False,0.4025888,80.51776000000001
1139,1359,12.5811,5.0,38,15.0,7.0,9975.0,1,False,0.4025952,80.51903999999999
1135,1355,12.5839,5.0,38,15.0,3.0,9971.0,1,False,0.4026848,80.53696
1143,1363,12.5873,5.0,38,15.0,11.0,9979.0,1,False,0.40279360000000003,80.55872000000001
1138,1358,12.5907,5.0,38,15.0,6.0,9974.0,1,False,0.4029024,80.58048
1132,1352,12.5923,5.0,38,15.0,0.0,9968.0,1,False,0.4029536,80.59072
1140,1360,12.5927,5.0,38,15.0,8.0,9976.0,1,False,0.4029664,80.59328000000001
1141,1361,12.6002,5.0,38,15.0,9.0,9977.0,1,False,0.40320639999999996,80.64128
1130,1350,12.8867,5.0,37,15.0,10.0,9722.0,1,False,0.4123744,82.47488
1127,1347,12.8894,5.0,37,15.0,7.0,9719.0,1,False,0.4124608,82.49216
1126,1346,12.8947,5.0,37,15.0,6.0,9718.0,1,False,0.4126304,82.52608000000001
1121,1341,12.8978,5.0,37,15.0,1.0,9713.0,1,False,0.41272960000000003,82.54592
1131,1351,12.9001,5.0,37,15.0,11.0,9723.0,1,False,0.41280320000000004,82.56064
1123,1343,12.9046,5.0,37,15.0,3.0,9715.0,1,False,0.4129472,82.58944
1124,1344,12.9048,5.0,37,15.0,4.0,9716.0,1,False,0.4129536,82.59072
1122,1342,12.9065,5.0,37,15.0,2.0,9714.0,1,False,0.413008,82.60159999999999
1128,1348,12.9106,5.0,37,15.0,8.0,9720.0,1,False,0.41313920000000004,82.62784
1120,1340,12.9137,5.0,37,15.0,0.0,9712.0,1,False,0.4132384,82.64768000000001
1125,1345,12.9169,5.0,37,15.0,5.0,9717.0,1,False,0.4133408,82.66816
1129,1349,12.9256,5.0,37,15.0,9.0,9721.0,1,False,0.41361919999999996,82.72384
894,1114,17.2101,1.0,36,8.0,13.0,9357.0,1,False,0.5507232000000001,550.7232000000001
937,1157,17.2284,1.0,38,10.0,5.0,9893.0,1,False,0.5513088,551.3088
1182,1402,19.8778,5.0,42,15.0,2.0,10994.0,1,False,0.6360896,127.21792
1188,1408,19.8935,5.0,42,15.0,8.0,11000.0,1,False,0.636592,127.31840000000003
1189,1409,19.8945,5.0,42,15.0,9.0,11001.0,1,False,0.6366240000000001,127.32480000000001
1185,1405,19.8996,5.0,42,15.0,5.0,10997.0,1,False,0.6367872,127.35744
1181,1401,19.9019,5.0,42,15.0,1.0,10993.0,1,False,0.6368608,127.37216000000001
1191,1411,19.9093,5.0,42,15.0,11.0,11003.0,1,False,0.6370976,127.41952
1183,1403,19.9098,5.0,42,15.0,3.0,10995.0,1,False,0.6371136000000001,127.42272
1190,1410,19.9105,5.0,42,15.0,10.0,11002.0,1,False,0.637136,127.42720000000001
1184,1404,19.9125,5.0,42,15.0,4.0,10996.0,1,False,0.6372000000000001,127.44000000000001
1187,1407,19.9135,5.0,42,15.0,7.0,10999.0,1,False,0.637232,127.4464
1180,1400,19.9139,5.0,42,15.0,0.0,10992.0,1,False,0.6372448000000001,127.44896000000001
1186,1406,19.918,5.0,42,15.0,6.0,10998.0,1,False,0.6373759999999999,127.4752
1176,1396,20.3621,5.0,41,15.0,8.0,10744.0,1,False,0.6515872,130.31744
1175,1395,20.3652,5.0,41,15.0,7.0,10743.0,1,False,0.6516864000000001,130.33728000000002
1171,1391,20.3675,5.0,41,15.0,3.0,10739.0,1,False,0.65176,130.352
1177,1397,20.3676,5.0,41,15.0,9.0,10745.0,1,False,0.6517632,130.35264
1169,1389,20.3743,5.0,41,15.0,1.0,10737.0,1,False,0.6519776,130.39552
1172,1392,20.375999999999998,5.0,41,15.0,4.0,10740.0,1,False,0.652032,130.4064
1178,1398,20.377,5.0,41,15.0,10.0,10746.0,1,False,0.652064,130.4128
1179,1399,20.3781,5.0,41,15.0,11.0,10747.0,1,False,0.6520992,130.41984
1168,1388,20.3805,5.0,41,15.0,0.0,10736.0,1,False,0.6521760000000001,130.4352
1170,1390,20.3816,5.0,41,15.0,2.0,10738.0,1,False,0.6522112,130.44224
1173,1393,20.3822,5.0,41,15.0,5.0,10741.0,1,False,0.6522304000000001,130.44608000000002
1174,1394,20.3861,5.0,41,15.0,6.0,10742.0,1,False,0.6523552,130.47104
1237,1457,23.4272,5.0,46,15.0,9.0,12025.0,1,False,0.7496704,149.93408
1232,1452,23.4278,5.0,46,15.0,4.0,12020.0,1,False,0.7496896000000001,149.93792000000002
1239,1459,23.4302,5.0,46,15.0,11.0,12027.0,1,False,0.7497663999999999,149.95328
1233,1453,23.4337,5.0,46,15.0,5.0,12021.0,1,False,0.7498784000000001,149.97568
1234,1454,23.4352,5.0,46,15.0,6.0,12022.0,1,False,0.7499264,149.98528
1235,1455,23.4361,5.0,46,15.0,7.0,12023.0,1,False,0.7499552,149.99104
1238,1458,23.4386,5.0,46,15.0,10.0,12026.0,1,False,0.7500352,150.00704000000002
1228,1448,23.4409,5.0,46,15.0,0.0,12016.0,1,False,0.7501088,150.02176
1230,1450,23.4412,5.0,46,15.0,2.0,12018.0,1,False,0.7501184,150.02367999999998
1231,1451,23.4424,5.0,46,15.0,3.0,12019.0,1,False,0.7501568,150.03136
1229,1449,23.4429,5.0,46,15.0,1.0,12017.0,1,False,0.7501728000000001,150.03456
1236,1456,23.4491,5.0,46,15.0,8.0,12024.0,1,False,0.7503712,150.07424
1227,1447,23.6367,5.0,45,15.0,11.0,11771.0,1,False,0.7563744,151.27488
1221,1441,23.6399,5.0,45,15.0,5.0,11765.0,1,False,0.7564768000000001,151.29536000000002
1225,1445,23.643,5.0,45,15.0,9.0,11769.0,1,False,0.756576,151.3152
1218,1438,23.6461,5.0,45,15.0,2.0,11762.0,1,False,0.7566752,151.33504
1222,1442,23.648000000000003,5.0,45,15.0,6.0,11766.0,1,False,0.7567360000000001,151.34720000000002
1216,1436,23.649,5.0,45,15.0,0.0,11760.0,1,False,0.756768,151.3536
1223,1443,23.6526,5.0,45,15.0,7.0,11767.0,1,False,0.7568832,151.37664
1226,1446,23.6533,5.0,45,15.0,10.0,11770.0,1,False,0.7569056000000001,151.38112
1219,1439,23.6555,5.0,45,15.0,3.0,11763.0,1,False,0.756976,151.3952
1224,1444,23.6561,5.0,45,15.0,8.0,11768.0,1,False,0.7569952,151.39903999999999
1220,1440,23.6595,5.0,45,15.0,4.0,11764.0,1,False,0.7571040000000001,151.42080000000004
1217,1437,23.6596,5.0,45,15.0,1.0,11761.0,1,False,0.7571072000000001,151.42144000000002
1213,1433,23.9282,5.0,44,15.0,9.0,11513.0,1,False,0.7657024,153.14048
1206,1426,23.9322,5.0,44,15.0,2.0,11506.0,1,False,0.7658304,153.16608000000002
1209,1429,23.9338,5.0,44,15.0,5.0,11509.0,1,False,0.7658816,153.17632
1212,1432,23.9378,5.0,44,15.0,8.0,11512.0,1,False,0.7660096,153.20192
1205,1425,23.9386,5.0,44,15.0,1.0,11505.0,1,False,0.7660352,153.20704
1208,1428,23.9413,5.0,44,15.0,4.0,11508.0,1,False,0.7661216,153.22431999999998
1214,1434,23.941999999999997,5.0,44,15.0,10.0,11514.0,1,False,0.7661439999999999,153.22879999999998
1211,1431,23.9427,5.0,44,15.0,7.0,11511.0,1,False,0.7661663999999999,153.23327999999998
1210,1430,23.9433,5.0,44,15.0,6.0,11510.0,1,False,0.7661856,153.23712
1207,1427,23.9436,5.0,44,15.0,3.0,11507.0,1,False,0.7661952,153.23904
1215,1435,23.949,5.0,44,15.0,11.0,11515.0,1,False,0.766368,153.27360000000002
1204,1424,23.951999999999998,5.0,44,15.0,0.0,11504.0,1,False,0.7664639999999999,153.2928
1194,1414,24.3881,5.0,43,15.0,2.0,11250.0,1,False,0.7804192000000001,156.08384
1193,1413,24.3952,5.0,43,15.0,1.0,11249.0,1,False,0.7806464,156.12928
1201,1421,24.3981,5.0,43,15.0,9.0,11257.0,1,False,0.7807392,156.14784
1196,1416,24.3991,5.0,43,15.0,4.0,11252.0,1,False,0.7807712,156.15424000000002
1197,1417,24.4014,5.0,43,15.0,5.0,11253.0,1,False,0.7808448,156.16896
1200,1420,24.409000000000002,5.0,43,15.0,8.0,11256.0,1,False,0.7810880000000001,156.2176
1198,1418,24.410999999999998,5.0,43,15.0,6.0,11254.0,1,False,0.781152,156.23039999999997
1192,1412,24.4118,5.0,43,15.0,0.0,11248.0,1,False,0.7811776,156.23552
1203,1423,24.4139,5.0,43,15.0,11.0,11259.0,1,False,0.7812448000000001,156.24896
1202,1422,24.416999999999998,5.0,43,15.0,10.0,11258.0,1,False,0.7813439999999999,156.2688
1199,1419,24.42,5.0,43,15.0,7.0,11255.0,1,False,0.78144,156.288
1195,1415,24.427,5.0,43,15.0,3.0,11251.0,1,False,0.781664,156.3328
1285,1505,27.4438,5.0,50,15.0,9.0,13049.0,1,False,0.8782016,175.64032
1277,1497,27.447,5.0,50,15.0,1.0,13041.0,1,False,0.878304,175.6608
1287,1507,27.4481,5.0,50,15.0,11.0,13051.0,1,False,0.8783392,175.66784
1283,1503,27.4491,5.0,50,15.0,7.0,13047.0,1,False,0.8783712,175.67424
1282,1502,27.4513,5.0,50,15.0,6.0,13046.0,1,False,0.8784416,175.68832
1281,1501,27.4513,5.0,50,15.0,5.0,13045.0,1,False,0.8784416,175.68832
1280,1500,27.4533,5.0,50,15.0,4.0,13044.0,1,False,0.8785056,175.70112
1286,1506,27.4538,5.0,50,15.0,10.0,13050.0,1,False,0.8785216,175.70432
1276,1496,27.4548,5.0,50,15.0,0.0,13040.0,1,False,0.8785535999999999,175.71071999999998
1284,1504,27.4549,5.0,50,15.0,8.0,13048.0,1,False,0.8785568,175.71136
1278,1498,27.4554,5.0,50,15.0,2.0,13042.0,1,False,0.8785728,175.71456
1279,1499,27.4566,5.0,50,15.0,3.0,13043.0,1,False,0.8786112,175.72224
1272,1492,27.6181,5.0,49,15.0,8.0,12792.0,1,False,0.8837792,176.75583999999998
1269,1489,27.6185,5.0,49,15.0,5.0,12789.0,1,False,0.883792,176.7584
1270,1490,27.6198,5.0,49,15.0,6.0,12790.0,1,False,0.8838336000000001,176.76672000000002
1274,1494,27.6198,5.0,49,15.0,10.0,12794.0,1,False,0.8838336000000001,176.76672000000002
1268,1488,27.6211,5.0,49,15.0,4.0,12788.0,1,False,0.8838752,176.77504
1271,1491,27.6226,5.0,49,15.0,7.0,12791.0,1,False,0.8839232,176.78464000000002
1273,1493,27.6237,5.0,49,15.0,9.0,12793.0,1,False,0.8839584,176.79167999999999
1265,1485,27.6251,5.0,49,15.0,1.0,12785.0,1,False,0.8840032,176.80064
1264,1484,27.6262,5.0,49,15.0,0.0,12784.0,1,False,0.8840384,176.80768
1275,1495,27.6265,5.0,49,15.0,11.0,12795.0,1,False,0.8840480000000001,176.8096
1267,1487,27.6267,5.0,49,15.0,3.0,12787.0,1,False,0.8840544,176.81088
1266,1486,27.6384,5.0,49,15.0,2.0,12786.0,1,False,0.8844288,176.88576
1263,1483,27.7104,5.0,48,15.0,11.0,12539.0,1,False,0.8867328,177.34656
1256,1476,27.7117,5.0,48,15.0,4.0,12532.0,1,False,0.8867744000000001,177.35488000000004
1262,1482,27.7122,5.0,48,15.0,10.0,12538.0,1,False,0.8867904,177.35808
1254,1474,27.7125,5.0,48,15.0,2.0,12530.0,1,False,0.8867999999999999,177.35999999999999
1257,1477,27.7127,5.0,48,15.0,5.0,12533.0,1,False,0.8868064000000001,177.36128000000002
1255,1475,27.7128,5.0,48,15.0,3.0,12531.0,1,False,0.8868096000000001,177.36192
1252,1472,27.713,5.0,48,15.0,0.0,12528.0,1,False,0.886816,177.3632
1260,1480,27.715999999999998,5.0,48,15.0,8.0,12536.0,1,False,0.8869119999999999,177.3824
1259,1479,27.7183,5.0,48,15.0,7.0,12535.0,1,False,0.8869856,177.39712000000003
1261,1481,27.7197,5.0,48,15.0,9.0,12537.0,1,False,0.8870304,177.40608
1258,1478,27.7235,5.0,48,15.0,6.0,12534.0,1,False,0.887152,177.43040000000002
1253,1473,27.7241,5.0,48,15.0,1.0,12529.0,1,False,0.8871712,177.43424
1245,1465,27.9684,5.0,47,15.0,5.0,12277.0,1,False,0.8949888,178.99776000000003
1250,1470,27.9728,5.0,47,15.0,10.0,12282.0,1,False,0.8951296,179.02591999999999
1249,1469,27.9763,5.0,47,15.0,9.0,12281.0,1,False,0.8952416,179.04832
1251,1471,27.9777,5.0,47,15.0,11.0,12283.0,1,False,0.8952863999999999,179.05728
1241,1461,27.9792,5.0,47,15.0,1.0,12273.0,1,False,0.8953344,179.06688
1247,1467,27.9811,5.0,47,15.0,7.0,12279.0,1,False,0.8953952000000001,179.07904000000002
1244,1464,27.9834,5.0,47,15.0,4.0,12276.0,1,False,0.8954688,179.09376
1248,1468,27.9858,5.0,47,15.0,8.0,12280.0,1,False,0.8955456,179.10912000000002
1242,1462,27.986,5.0,47,15.0,2.0,12274.0,1,False,0.895552,179.1104
1240,1460,27.9901,5.0,47,15.0,0.0,12272.0,1,False,0.8956832000000001,179.13664000000003
1243,1463,27.9914,5.0,47,15.0,3.0,12275.0,1,False,0.8957248,179.14496
1246,1466,27.9955,5.0,47,15.0,6.0,12278.0,1,False,0.895856,179.1712
781,1001,28.677100000000003,2.0,33,10.5,4.0,8620.0,2,False,0.9176672000000001,458.83360000000005
936,1156,32.588,2.0,38,9.5,5.5,9885.5,2,False,1.042816,521.408
1009,1229,33.42487,3.0,41,8.666666666666666,4.333333333333333,10639.0,3,False,1.06959584,356.5319466666667
962,1182,33.4505,3.0,39,9.666666666666666,4.333333333333333,10143.0,3,False,1.070416,356.8053333333333
916,1136,33.62777,3.0,37,9.666666666666666,4.333333333333333,9631.0,3,False,1.07608864,358.69621333333333
873,1093,37.60311,3.0,36,12.666666666666666,9.333333333333334,9428.0,3,False,1.20329952,401.09984000000003
872,1092,37.61389,3.0,36,12.666666666666666,4.333333333333333,9423.0,3,False,1.20364448,401.2148266666666
961,1181,39.66483,3.0,39,9.0,5.0,10133.0,3,False,1.2692745600000002,423.09152
1008,1228,39.73129,3.0,41,8.0,3.0,10627.0,3,False,1.27140128,423.8004266666667
915,1135,39.952239999999996,3.0,37,9.0,3.0,9619.0,3,False,1.27847168,426.1572266666667
821,1041,40.09409,3.0,34,9.0,10.0,8858.0,3,False,1.28301088,427.67029333333335
815,1035,40.11649,3.0,34,1.0,10.0,8730.0,3,False,1.28372768,427.90922666666665
651,851,40.9091,1.0,28,1.0,5.0,7189.0,1,False,1.3090912000000001,1309.0912
649,849,41.0039,1.0,28,5.0,4.0,7252.0,1,False,1.3121248,1312.1248
1119,1339,41.3924,3.0,50,6.666666666666667,4.333333333333333,12911.0,3,False,1.3245568,441.51893333333334
1050,1270,41.59,3.0,44,7.666666666666667,4.333333333333333,11391.0,3,False,1.33088,443.6266666666667
756,974,42.47607,3.0,32,10.666666666666666,5.333333333333333,8368.0,3,False,1.35923424,453.07808
742,960,42.761700000000005,3.0,31,4.333333333333333,9.666666666666666,8015.0,3,False,1.3683744000000002,456.12480000000005
545,729,42.8318,3.0,24,5.0,1.0,6225.0,1,False,1.3706176,456.87253333333337
547,731,42.9151,3.0,24,4.0,5.0,6213.0,1,False,1.3732832000000001,457.7610666666667
705,919,43.027460000000005,3.0,30,10.666666666666666,6.333333333333333,7857.0,3,False,1.3768787200000001,458.95957333333337
681,889,43.7143,3.0,29,9.666666666666666,4.333333333333333,7583.0,3,False,1.3988576000000001,466.28586666666666
852,1072,43.7312,3.0,35,8.0,10.0,9098.0,3,False,1.3993984000000002,466.4661333333334
854,1074,43.7532,3.0,35,2.0,10.0,9002.0,3,False,1.4001024,466.7008
1049,1269,43.9495,3.0,44,7.0,5.0,11381.0,3,False,1.406384,468.79466666666667
1118,1338,44.0537,3.0,50,6.0,3.0,12899.0,3,False,1.4097184,469.90613333333334
481,665,44.146,3.0,22,5.0,1.0,5713.0,1,False,1.4126720000000001,470.89066666666673
483,667,44.1745,3.0,22,4.0,5.0,5701.0,1,False,1.4135840000000002,471.19466666666676
513,697,44.2708,3.0,23,5.0,1.0,5969.0,1,False,1.4166656,472.2218666666667
515,699,44.2858,3.0,23,4.0,5.0,5957.0,1,False,1.4171456,472.38186666666667
780,1000,44.322100000000006,3.0,33,10.0,5.0,8613.0,3,False,1.4183072000000003,472.7690666666668
878,1098,45.6681,3.0,36,11.0,5.0,9397.0,3,False,1.4613792,487.12640000000005
417,601,45.683,3.0,20,5.0,1.0,5201.0,1,False,1.461856,487.2853333333333
419,603,45.708,3.0,20,4.0,5.0,5189.0,1,False,1.462656,487.55199999999996
449,633,45.8345,3.0,21,5.0,1.0,5457.0,1,False,1.466704,488.9013333333333
988,1208,45.843900000000005,3.0,40,9.0,4.0,10388.0,3,False,1.4670048000000002,489.00160000000005
451,635,45.8462,3.0,21,4.0,5.0,5445.0,1,False,1.4670784000000001,489.02613333333335
1023,1243,45.877700000000004,3.0,42,8.0,4.0,10884.0,3,False,1.4680864000000002,489.36213333333336
935,1155,46.2173,3.0,38,9.0,6.0,9878.0,3,False,1.4789536,492.98453333333333
375,559,46.3676,3.0,18,5.333333333333333,9.666666666666666,4703.0,3,False,1.4837632,494.58773333333335
374,558,46.4352,3.0,18,9.666666666666666,4.333333333333333,4767.0,3,False,1.4859264,495.3088
912,1132,46.5985,3.0,37,8.0,5.0,9605.0,3,False,1.491152,497.0506666666667
913,1133,46.6002,3.0,37,8.0,2.0,9602.0,3,False,1.4912064,497.0688
1101,1321,46.9947,3.0,49,5.0,1.0,12625.0,3,False,1.5038304,501.27680000000004
1096,1316,47.2042,3.0,48,2.0,6.0,12326.0,3,False,1.5105344,503.51146666666665
503,687,47.28980000000001,3.0,22,5.333333333333333,9.666666666666666,5727.0,3,False,1.5132736000000002,504.4245333333334
502,686,47.331,3.0,22,9.666666666666666,4.333333333333333,5791.0,3,False,1.5145920000000002,504.86400000000003
1117,1337,47.4938,3.0,50,4.333333333333333,6.666666666666667,12876.0,3,False,1.5198016,506.6005333333333
355,539,47.5008,3.0,18,4.0,5.0,4677.0,1,False,1.5200255999999999,506.67519999999996
353,537,47.54600000000001,3.0,18,5.0,1.0,4689.0,1,False,1.5214720000000002,507.1573333333334
868,1088,47.5933,3.0,36,11.666666666666666,10.333333333333334,9413.0,3,False,1.5229856,507.66186666666664
865,1085,47.5989,3.0,36,11.666666666666666,2.3333333333333335,9405.0,3,False,1.5231648,507.7216
1081,1301,47.6289,3.0,47,5.0,1.0,12113.0,3,False,1.5241248,508.0416
387,571,47.7026,3.0,19,4.0,5.0,4933.0,1,False,1.5264832,508.8277333333333
385,569,47.7405,3.0,19,5.0,1.0,4945.0,1,False,1.527696,509.23199999999997
439,623,47.7543,3.0,20,5.333333333333333,9.666666666666666,5215.0,3,False,1.5281376,509.3792
438,622,47.783300000000004,3.0,20,9.666666666666666,4.333333333333333,5279.0,3,False,1.5290656000000002,509.68853333333345
858,1078,47.807900000000004,3.0,35,4.0,10.0,9034.0,3,False,1.5298528000000002,509.95093333333347
923,1143,47.934200000000004,3.0,37,3.3333333333333335,8.666666666666666,9534.0,3,False,1.5338944,511.2981333333334
1030,1250,48.049800000000005,3.0,42,3.0,8.0,10808.0,3,False,1.5375936000000001,512.5312
1055,1275,48.2792,3.0,44,4.0,7.0,11335.0,3,False,1.5449344,514.9781333333334
948,1168,48.343,3.0,38,3.0,9.0,9785.0,3,False,1.5469760000000001,515.6586666666667
1007,1227,48.3506,3.0,41,7.0,4.0,10612.0,3,False,1.5472192,515.7397333333333
1109,1329,48.3692,3.0,50,5.0,1.0,12881.0,3,False,1.5478144,515.9381333333333
1112,1332,48.3818,3.0,50,5.0,5.0,12885.0,3,False,1.5482176,516.0725333333334
911,1131,48.390100000000004,3.0,37,8.0,1.0,9601.0,3,False,1.5484832000000002,516.1610666666667
922,1142,48.4387,3.0,37,4.0,8.0,9544.0,3,False,1.5500384,516.6794666666667
1036,1256,48.584,3.0,43,6.0,2.0,11106.0,3,False,1.554688,518.2293333333333
889,1109,48.6225,3.0,36,3.0,8.0,9272.0,3,False,1.5559200000000002,518.6400000000001
1114,1334,48.7141,3.0,50,2.0,6.0,12838.0,3,False,1.5588512,519.6170666666667
1116,1336,48.762,3.0,50,3.0,6.0,12854.0,3,False,1.560384,520.128
887,1107,48.7869,3.0,36,5.0,8.0,9304.0,3,False,1.5611808,520.3936
1104,1324,48.7994,3.0,49,4.0,4.0,12612.0,3,False,1.5615808,520.5269333333333
1105,1325,48.8082,3.0,49,0.0,4.0,12548.0,3,False,1.5618624,520.6208
567,751,48.92600000000001,3.0,24,5.333333333333333,9.666666666666666,6239.0,3,False,1.5656320000000004,521.8773333333335
566,750,48.9861,3.0,24,9.666666666666666,4.333333333333333,6303.0,3,False,1.5675552000000001,522.5184
